batch class_loss class_acc conf_loss conf
0 0.6732 59.38 0.6892 51.51
10 0.7069 43.75 0.7222 53.44
20 0.6996 40.62 0.6819 50.52
30 0.6530 71.88 0.6944 49.94
40 0.6861 53.12 0.6924 54.69
50 0.6781 50.00 0.6906 54.89
60 0.6824 68.75 0.6778 51.80
70 0.6842 62.50 0.6946 50.78
80 0.7357 40.62 0.7249 52.13
90 0.7083 46.88 0.7013 50.56
100 0.6706 68.75 0.6987 48.48
110 0.6788 65.62 0.7011 50.45
120 0.6908 59.38 0.6989 50.55
130 0.7013 50.00 0.6989 50.33
140 0.6817 59.38 0.6835 50.93
150 0.7146 40.62 0.6836 51.20
160 0.7008 43.75 0.6816 45.80
170 0.6824 53.12 0.7002 47.23
180 0.7057 65.62 0.7151 49.25
190 0.6955 53.12 0.6968 54.16
200 0.6994 59.38 0.6875 53.60
210 0.6920 53.12 0.6707 51.28
220 0.7030 43.75 0.6867 49.32
230 0.6816 71.88 0.7194 48.03
240 0.6865 50.00 0.6725 51.58
250 0.6904 50.00 0.6841 50.05
260 0.6860 56.25 0.6877 49.40
270 0.6979 40.62 0.6786 48.01
280 0.6802 78.12 0.7376 47.06
290 0.6769 62.50 0.6911 50.40
300 0.6985 46.88 0.7006 52.65
310 0.6987 53.12 0.6897 52.35
