batch class_loss class_acc conf_loss conf
0 0.6754 59.38 0.6886 51.29
10 0.6796 65.62 0.6810 50.59
20 0.7160 53.12 0.7145 53.25
30 0.7033 40.62 0.6944 49.76
40 0.7007 46.88 0.6862 46.10
50 0.6829 65.62 0.6967 48.98
60 0.7125 37.50 0.7251 54.31
70 0.7125 43.75 0.7096 52.90
80 0.6948 43.75 0.7059 47.78
90 0.7106 46.88 0.6890 47.75
100 0.6826 50.00 0.6958 50.60
110 0.6994 56.25 0.6792 55.97
120 0.7070 50.00 0.6978 56.11
130 0.6746 56.25 0.6925 53.23
140 0.7044 50.00 0.6979 52.13
150 0.7188 53.12 0.7132 51.95
160 0.7102 46.88 0.6945 53.05
170 0.7064 46.88 0.7044 51.90
180 0.7269 37.50 0.7188 50.59
190 0.7114 46.88 0.7010 49.01
200 0.6850 56.25 0.6943 48.90
210 0.6848 53.12 0.6993 48.84
220 0.6831 68.75 0.6961 51.71
230 0.6988 50.00 0.6966 52.93
240 0.7017 50.00 0.6966 51.58
250 0.6831 50.00 0.6931 50.39
260 0.6976 46.88 0.6857 49.33
270 0.6900 50.00 0.6935 47.67
280 0.6978 43.75 0.6890 49.05
290 0.7011 46.88 0.6900 50.30
300 0.6988 43.75 0.7014 51.50
310 0.7044 40.62 0.6930 51.00
