batch class_loss class_acc conf_loss conf
1560 0.3252 87.50 0.1357 83.49
1570 0.4066 84.38 0.1418 84.61
1580 0.5120 75.00 0.2465 81.21
1590 0.3726 84.38 0.1913 83.55
1600 0.4739 87.50 0.1827 83.69
1610 0.6289 71.88 0.2747 76.17
1620 0.3075 90.62 0.1708 81.45
1630 0.5616 84.38 0.2106 77.01
1640 0.3430 87.50 0.2019 83.23
1650 0.4945 78.12 0.2315 79.88
1660 0.2779 90.62 0.1748 83.66
1670 0.4714 84.38 0.1607 78.87
1680 0.3819 81.25 0.2391 82.39
1690 0.5952 78.12 0.2502 83.82
1700 0.6512 71.88 0.1585 77.69
1710 0.6447 78.12 0.3069 76.65
1720 0.4205 84.38 0.2424 82.93
1730 0.1978 90.62 0.1029 89.09
1740 0.3962 84.38 0.1232 83.31
1750 0.5771 81.25 0.3543 77.83
1760 0.5010 81.25 0.2629 81.08
1770 0.7247 75.00 0.2318 77.60
1780 0.5473 81.25 0.2271 84.68
1790 0.5061 84.38 0.3227 85.38
1800 0.4075 84.38 0.2069 83.14
1810 0.8204 68.75 0.3256 81.14
1820 0.2255 93.75 0.1018 88.02
1830 0.5401 81.25 0.1942 83.02
1840 0.5714 75.00 0.2891 84.07
1850 0.5659 84.38 0.3707 80.87
1860 0.3878 84.38 0.3217 88.04
1870 0.4044 87.50 0.2420 83.80
