batch class_loss class_acc conf_loss conf
0 0.6692 59.38 0.6863 53.69
10 0.7130 40.62 0.7160 54.19
20 0.6835 50.00 0.6836 51.89
30 0.6740 59.38 0.6793 52.22
40 0.6684 56.25 0.6965 52.21
50 0.6783 50.00 0.6900 52.65
60 0.7181 43.75 0.6987 53.14
70 0.7013 40.62 0.7028 52.67
80 0.6977 53.12 0.6930 51.79
90 0.6697 65.62 0.6769 51.14
100 0.6759 65.62 0.6890 50.45
110 0.7019 46.88 0.6997 51.78
120 0.6768 56.25 0.6913 51.53
130 0.7113 46.88 0.7102 50.86
140 0.6722 59.38 0.6866 48.37
150 0.6783 62.50 0.6990 49.62
160 0.7029 46.88 0.7043 51.58
170 0.7020 46.88 0.6974 52.68
180 0.6874 50.00 0.6962 54.53
190 0.6795 59.38 0.6896 54.26
200 0.6724 59.38 0.6807 54.31
210 0.6767 53.12 0.6729 53.26
220 0.6916 53.12 0.7072 51.60
230 0.6640 65.62 0.6807 51.47
240 0.6766 46.88 0.6867 54.41
250 0.6800 50.00 0.7136 55.20
260 0.6644 59.38 0.6781 55.60
270 0.7298 34.38 0.7253 53.60
280 0.6627 62.50 0.6994 50.61
290 0.6662 56.25 0.6882 50.73
300 0.6889 65.62 0.6902 53.48
310 0.7144 40.62 0.7174 55.61
