batch class_loss class_acc conf_loss conf
0 0.6848 50.00 0.6890 53.32
10 0.6384 71.88 0.6577 52.56
20 0.6689 62.50 0.7091 53.69
30 0.6817 56.25 0.6780 52.82
40 0.6768 56.25 0.6932 54.98
50 0.6790 53.12 0.6886 54.18
60 0.6203 78.12 0.6341 55.82
70 0.6773 53.12 0.6836 56.87
80 0.7106 50.00 0.7002 55.88
90 0.6845 53.12 0.6809 53.72
100 0.6647 65.62 0.6667 53.34
110 0.7040 50.00 0.6949 54.29
120 0.6717 65.62 0.6923 52.55
130 0.6738 53.12 0.6808 53.79
140 0.7567 37.50 0.7489 54.97
150 0.7116 53.12 0.7040 54.10
160 0.6570 62.50 0.6665 53.72
170 0.6892 59.38 0.6867 53.57
180 0.7112 43.75 0.6993 53.62
190 0.6600 71.88 0.6514 53.88
200 0.7196 37.50 0.7412 55.49
210 0.6934 56.25 0.7015 53.82
220 0.6657 56.25 0.6725 51.92
230 0.6852 56.25 0.6950 52.70
240 0.6838 56.25 0.6871 53.78
250 0.6559 71.88 0.6550 53.29
260 0.6728 65.62 0.6795 53.68
270 0.6843 53.12 0.6804 54.35
280 0.6641 59.38 0.6814 54.95
290 0.6898 53.12 0.6784 54.33
300 0.7170 43.75 0.7007 53.26
310 0.6869 59.38 0.6742 52.88
