batch class_loss class_acc conf_loss conf
0 0.6902 40.62 0.7316 54.83
10 0.7133 53.12 0.7070 53.88
20 0.7456 46.88 0.7497 55.76
30 0.6988 34.38 0.6884 48.68
40 0.6686 59.38 0.6840 47.43
50 0.6860 62.50 0.7167 48.20
60 0.6586 65.62 0.6772 51.03
70 0.7079 43.75 0.6989 50.40
80 0.6877 53.12 0.6798 49.08
90 0.7020 53.12 0.7540 46.85
100 0.6949 50.00 0.7119 47.10
110 0.6919 59.38 0.7292 47.94
120 0.7035 50.00 0.7371 47.16
130 0.6988 43.75 0.6706 46.43
140 0.6785 50.00 0.6920 47.75
150 0.7024 46.88 0.6937 49.57
160 0.6879 53.12 0.6945 50.49
170 0.6975 50.00 0.6936 50.45
180 0.7070 37.50 0.7108 53.36
190 0.6674 68.75 0.6792 54.13
200 0.6890 50.00 0.7027 50.51
210 0.6981 46.88 0.6791 48.70
220 0.6985 43.75 0.7103 48.61
230 0.7068 53.12 0.6849 51.78
240 0.6784 53.12 0.6889 52.80
250 0.6776 59.38 0.6946 50.92
260 0.7028 46.88 0.6753 50.30
270 0.6626 62.50 0.6784 50.40
280 0.7143 40.62 0.7235 50.18
290 0.6732 62.50 0.7182 47.16
300 0.7051 46.88 0.7046 49.93
310 0.7012 50.00 0.7156 51.78
