batch class_loss class_acc conf_loss conf
0 0.6896 59.38 0.7075 47.59
10 0.6895 50.00 0.6894 50.61
20 0.6801 65.62 0.6876 50.73
30 0.6925 46.88 0.6973 51.38
40 0.6820 59.38 0.6961 49.06
50 0.6780 53.12 0.6818 48.08
60 0.6793 50.00 0.6792 50.90
70 0.6967 53.12 0.7048 52.74
80 0.6972 40.62 0.7279 49.90
90 0.7037 37.50 0.6922 47.43
100 0.7051 40.62 0.6868 48.97
110 0.6983 40.62 0.6823 48.73
120 0.6882 56.25 0.7121 49.74
130 0.6854 46.88 0.7091 53.37
140 0.6909 59.38 0.6892 53.14
150 0.6885 53.12 0.6894 51.96
160 0.6757 62.50 0.6722 52.26
170 0.6737 62.50 0.6825 52.22
180 0.7037 46.88 0.7003 51.69
190 0.6835 46.88 0.6977 50.10
200 0.7013 28.12 0.6822 47.95
210 0.7018 50.00 0.7157 46.20
220 0.6821 65.62 0.6980 49.38
230 0.6946 46.88 0.7015 50.27
240 0.6859 53.12 0.6874 51.53
250 0.7193 43.75 0.7093 49.81
260 0.6902 56.25 0.7165 47.96
270 0.6903 59.38 0.6915 48.89
280 0.6790 56.25 0.6727 52.51
290 0.6864 59.38 0.6795 52.84
300 0.6843 56.25 0.6996 52.58
310 0.7103 46.88 0.6893 50.78
