batch class_loss class_acc conf_loss conf
0 0.0139 100.00 0.0157 98.50
10 0.0077 100.00 0.0067 99.34
20 0.0056 100.00 0.0137 98.73
30 0.0056 100.00 0.0153 98.53
40 0.1298 93.75 0.1790 96.22
50 0.0181 100.00 0.0219 98.01
60 0.0467 96.88 0.1231 97.64
70 0.0017 100.00 0.0166 98.43
80 0.0039 100.00 0.0139 98.72
90 0.0716 96.88 0.0784 99.16
100 0.0054 100.00 0.0098 99.07
110 0.0549 96.88 0.0641 99.02
120 0.0022 100.00 0.0068 99.33
130 0.0110 100.00 0.0068 99.33
140 0.0046 100.00 0.0102 99.01
150 0.1500 96.88 0.0752 97.96
160 0.0036 100.00 0.0161 98.47
170 0.0274 100.00 0.0151 98.57
180 0.0339 100.00 0.0194 98.14
190 0.1706 90.62 0.2942 98.90
200 0.0147 100.00 0.0227 97.87
210 0.1767 96.88 0.0841 97.94
220 0.0084 100.00 0.0443 95.99
230 0.0199 100.00 0.0223 97.92
240 0.0238 100.00 0.0295 97.26
250 0.0703 96.88 0.0731 99.09
260 0.0038 100.00 0.0056 99.45
270 0.0433 100.00 0.0178 98.34
280 0.1873 96.88 0.0992 99.20
290 0.0172 100.00 0.0057 99.43
300 0.0070 100.00 0.0097 99.05
310 0.0168 100.00 0.0111 98.92
320 0.0583 93.75 0.1465 98.53
330 0.1435 96.88 0.1159 97.12
340 0.0135 100.00 0.0175 98.31
350 0.0310 100.00 0.0379 96.52
360 0.0064 100.00 0.0139 98.65
370 0.0065 100.00 0.0181 98.34
380 0.0030 100.00 0.0111 98.91
390 0.0071 100.00 0.0179 98.41
400 0.1117 96.88 0.0522 97.23
410 0.1069 96.88 0.1162 96.60
420 0.1009 96.88 0.0191 97.19
430 0.0025 100.00 0.0104 99.00
440 0.1604 96.88 0.0432 96.43
450 0.2085 93.75 0.1162 98.28
460 0.1134 93.75 0.1715 96.79
470 0.0284 100.00 0.0273 97.40
480 0.0026 100.00 0.0132 98.71
490 0.3938 90.62 0.4359 98.11
500 0.0102 100.00 0.0151 98.56
510 0.0170 100.00 0.0310 97.18
520 0.0672 96.88 0.0958 98.34
530 0.1418 96.88 0.1700 99.02
540 0.0413 96.88 0.1092 98.53
550 0.0201 100.00 0.0112 98.93
560 0.3824 87.50 0.2767 97.40
570 0.0364 96.88 0.1497 98.56
580 0.0116 100.00 0.0185 98.26
590 0.0061 100.00 0.0136 98.68
600 0.0070 100.00 0.0148 98.61
610 0.0316 100.00 0.0249 97.72
620 0.0553 100.00 0.0152 98.59
630 0.0008 100.00 0.0135 98.74
640 0.0128 100.00 0.0116 98.86
650 0.0062 100.00 0.0116 98.87
660 0.0185 100.00 0.0133 98.73
670 0.0044 100.00 0.0121 98.84
680 0.0040 100.00 0.0086 99.16
690 0.0091 100.00 0.0135 98.71
700 0.0250 100.00 0.0135 98.73
710 0.0126 100.00 0.0129 98.75
720 0.1161 96.88 0.1421 96.77
730 0.2623 87.50 0.1671 93.21
740 0.0174 100.00 0.0346 96.82
750 0.0400 100.00 0.0111 98.91
760 0.0153 100.00 0.0158 98.47
770 0.0098 100.00 0.0173 98.51
780 0.0033 100.00 0.0172 98.35
790 0.0227 100.00 0.0352 96.82
800 0.0527 96.88 0.0574 97.86
810 0.1737 96.88 0.0626 98.09
820 0.0310 100.00 0.0149 98.59
830 0.2239 93.75 0.2666 96.80
840 0.0347 96.88 0.0726 98.37
850 0.0228 100.00 0.0156 98.50
860 0.0989 96.88 0.1064 98.50
870 0.1169 96.88 0.0760 98.11
880 0.0026 100.00 0.0091 99.10
890 0.0080 100.00 0.0129 98.73
900 0.0159 100.00 0.0237 97.75
910 0.0154 100.00 0.0326 97.06
920 0.0809 96.88 0.0750 97.12
930 0.0039 100.00 0.0194 98.20
940 0.0010 100.00 0.0134 98.72
950 0.0265 100.00 0.0157 98.47
960 0.0225 100.00 0.0163 98.43
970 0.0026 100.00 0.0100 99.02
980 0.0456 96.88 0.1358 97.37
990 0.0724 96.88 0.1170 96.77
1000 0.0758 93.75 0.1525 98.55
1010 0.0206 100.00 0.0263 97.67
1020 0.0391 100.00 0.0340 97.14
1030 0.1095 90.62 0.2440 97.92
1040 0.0830 96.88 0.0599 96.22
1050 0.0267 100.00 0.0234 97.78
1060 0.0027 100.00 0.0183 98.28
1070 0.0739 96.88 0.0921 98.69
1080 0.0008 100.00 0.0091 99.10
1090 0.0723 96.88 0.0485 97.43
1100 0.0025 100.00 0.0119 98.84
1110 0.0113 100.00 0.0119 98.84
1120 0.0807 96.88 0.0779 97.50
1130 0.2464 93.75 0.1809 98.38
1140 0.0180 100.00 0.0317 97.08
1150 0.1213 96.88 0.0752 98.50
1160 0.0164 100.00 0.0163 98.45
1170 0.0158 100.00 0.0091 99.11
1180 0.0114 100.00 0.0104 98.99
1190 0.0052 100.00 0.0086 99.17
1200 0.0417 100.00 0.0170 98.37
1210 0.0066 100.00 0.0195 98.16
1220 0.0823 96.88 0.0681 98.46
1230 0.0575 96.88 0.0887 98.78
1240 0.0458 100.00 0.0160 98.52
1250 0.0167 100.00 0.0100 99.05
1260 0.0171 100.00 0.0072 99.29
1270 0.0086 100.00 0.0094 99.09
1280 0.0205 100.00 0.0114 98.90
1290 0.0052 100.00 0.0151 98.62
1300 0.0310 96.88 0.0856 98.81
1310 0.0045 100.00 0.0200 98.07
1320 0.0685 96.88 0.0582 96.85
1330 0.0012 100.00 0.0074 99.27
1340 0.0042 100.00 0.0188 98.24
1350 0.0192 100.00 0.0180 98.32
1360 0.0403 100.00 0.0130 98.75
1370 0.0013 100.00 0.0054 99.47
1380 0.0250 100.00 0.0243 97.70
1390 0.0267 100.00 0.0257 97.70
1400 0.0279 100.00 0.0082 99.21
1410 0.0938 96.88 0.0710 98.62
1420 0.2044 96.88 0.2786 98.77
1430 0.0113 100.00 0.0272 97.46
1440 0.0052 100.00 0.0112 98.91
1450 0.0418 96.88 0.1246 98.69
1460 0.1629 96.88 0.0982 98.87
1470 0.0244 96.88 0.0757 98.47
1480 0.0089 100.00 0.0151 98.55
1490 0.0049 100.00 0.0140 98.64
1500 0.0261 100.00 0.0162 98.43
1510 0.0083 100.00 0.0153 98.52
1520 0.0313 100.00 0.0154 98.57
1530 0.0252 100.00 0.0155 98.49
1540 0.0673 96.88 0.0796 96.91
1550 0.0341 100.00 0.0269 97.45
1560 0.0191 100.00 0.0170 98.37
1570 0.0679 96.88 0.1586 97.01
1580 0.1037 93.75 0.3096 98.25
1590 0.0123 100.00 0.0120 98.82
1600 0.0237 100.00 0.0249 97.70
1610 0.0094 100.00 0.0158 98.51
1620 0.0930 93.75 0.1829 98.59
1630 0.1012 96.88 0.0683 98.52
1640 0.0078 100.00 0.0136 98.68
1650 0.0071 100.00 0.0117 98.86
1660 0.2403 96.88 0.1592 98.32
1670 0.0080 100.00 0.0101 99.02
1680 0.1772 90.62 0.3253 98.45
1690 0.0105 100.00 0.0143 98.61
1700 0.0169 100.00 0.0186 98.22
1710 0.0069 100.00 0.0289 97.31
1720 0.0290 100.00 0.0200 98.08
1730 0.0211 100.00 0.0233 97.83
1740 0.0028 100.00 0.0090 99.11
1750 0.0746 96.88 0.1503 98.10
1760 0.0930 93.75 0.2612 98.96
1770 0.1107 96.88 0.1031 97.28
1780 0.0522 96.88 0.0841 97.42
1790 0.0433 96.88 0.1217 97.97
1800 0.0016 100.00 0.0165 98.42
1810 0.1422 96.88 0.1149 97.02
1820 0.0065 100.00 0.0127 98.78
1830 0.0284 100.00 0.0140 98.69
1840 0.0995 96.88 0.0816 98.05
1850 0.0170 100.00 0.0255 97.59
1860 0.0298 100.00 0.0200 98.10
1870 0.0334 96.88 0.0631 96.36
