batch class_loss class_acc conf_loss conf
0 2.3621 9.38 0.7872 55.81
10 2.0428 37.50 0.6276 35.04
20 1.7106 59.38 0.7489 35.01
30 1.5682 62.50 0.6118 48.72
40 1.3061 68.75 0.5878 59.03
50 1.0469 81.25 0.4987 67.48
60 0.8122 87.50 0.4219 74.05
70 0.6084 90.62 0.3251 78.11
80 0.9484 65.62 0.6708 82.64
90 0.6060 84.38 0.4109 84.13
100 0.5706 78.12 0.4452 85.80
110 0.4412 84.38 0.3953 86.95
120 0.5056 87.50 0.2898 86.49
130 0.3940 87.50 0.3377 87.42
140 0.2189 93.75 0.2081 88.53
150 0.2995 93.75 0.2407 88.77
160 0.3222 93.75 0.2295 89.54
170 0.1647 96.88 0.1152 92.06
180 0.3986 87.50 0.3502 91.81
190 0.3945 90.62 0.2720 91.46
200 0.1512 96.88 0.1571 90.59
210 0.3966 84.38 0.3914 91.52
220 0.2516 93.75 0.2152 90.15
230 0.4583 84.38 0.4158 91.74
240 0.2411 90.62 0.3509 92.98
250 0.1002 100.00 0.0774 92.71
260 0.1595 96.88 0.1656 91.75
270 0.4303 87.50 0.3042 89.96
280 0.2804 93.75 0.1743 90.62
290 0.2607 93.75 0.1725 92.34
300 0.3538 90.62 0.2465 93.15
310 0.0858 96.88 0.1221 94.07
320 0.1036 100.00 0.0797 92.77
330 0.1461 93.75 0.1679 91.85
340 0.4106 87.50 0.2568 91.98
350 0.3805 87.50 0.3165 92.45
360 0.1432 90.62 0.2868 92.77
370 0.0916 100.00 0.0838 92.35
380 0.1431 96.88 0.1546 92.92
390 0.2655 87.50 0.3169 92.14
400 0.2258 90.62 0.3058 92.21
410 0.1841 93.75 0.1755 92.30
420 0.1301 93.75 0.2144 94.53
430 0.2891 90.62 0.2397 94.12
440 0.0510 100.00 0.0558 94.67
450 0.2084 93.75 0.1757 93.89
460 0.2499 90.62 0.2883 94.26
470 0.1388 96.88 0.1749 93.02
480 0.1048 100.00 0.0855 92.70
490 0.1946 93.75 0.2005 93.36
500 0.1061 96.88 0.1135 93.86
510 0.2106 90.62 0.2009 95.09
520 0.2120 93.75 0.2407 95.05
530 0.1127 93.75 0.2111 94.97
540 0.0331 100.00 0.0513 95.11
550 0.2652 93.75 0.2870 96.53
560 0.3240 93.75 0.2206 93.02
570 0.2470 93.75 0.1876 95.01
580 0.3175 87.50 0.2402 93.88
590 0.0467 100.00 0.0683 93.89
600 0.1272 93.75 0.1893 95.09
610 0.1105 96.88 0.0946 94.47
620 0.0736 96.88 0.1116 94.59
630 0.0466 100.00 0.0517 95.14
640 0.3603 93.75 0.2177 95.25
650 0.0698 96.88 0.0944 94.98
660 0.1897 90.62 0.3323 95.49
670 0.0747 96.88 0.0969 94.13
680 0.1059 96.88 0.1349 92.96
690 0.0748 100.00 0.0667 93.85
700 0.0949 93.75 0.2323 96.35
710 0.1168 96.88 0.0763 95.64
720 0.1693 93.75 0.1505 94.76
730 0.0491 100.00 0.0531 95.02
740 0.0160 100.00 0.0506 95.25
750 0.0634 96.88 0.1263 96.04
760 0.1043 93.75 0.1823 95.53
770 0.0479 100.00 0.0594 94.44
780 0.0751 96.88 0.2060 95.27
790 0.1621 90.62 0.2732 96.25
800 0.2843 93.75 0.1600 94.54
810 0.0878 96.88 0.1389 95.79
820 0.0927 96.88 0.1085 95.67
830 0.0193 100.00 0.0417 96.01
840 0.0492 100.00 0.0401 96.16
850 0.1522 96.88 0.1075 95.47
860 0.2170 93.75 0.1962 95.13
870 0.1651 93.75 0.2517 95.78
880 0.2661 96.88 0.1059 96.99
890 0.1249 93.75 0.2026 95.82
900 0.2160 93.75 0.2156 95.59
910 0.4279 87.50 0.3630 95.44
920 0.3119 90.62 0.2488 95.82
930 0.0969 100.00 0.0470 95.50
940 0.1174 96.88 0.1077 96.44
950 0.0616 96.88 0.1298 97.06
960 0.0917 93.75 0.1764 95.98
970 0.2637 96.88 0.1728 95.59
980 0.1262 93.75 0.2018 96.44
990 0.2539 93.75 0.2118 95.06
1000 0.4463 87.50 0.2602 93.89
1010 0.2675 90.62 0.2541 94.12
1020 0.1279 93.75 0.1273 93.69
1030 0.0249 100.00 0.0471 95.52
1040 0.1797 96.88 0.1258 96.85
1050 0.1528 96.88 0.1297 95.18
1060 0.2127 90.62 0.3785 96.57
1070 0.1293 93.75 0.1736 95.13
1080 0.1265 93.75 0.2073 95.37
1090 0.0678 96.88 0.0915 94.77
1100 0.1042 96.88 0.0807 95.32
1110 0.1363 93.75 0.1425 93.90
1120 0.0691 100.00 0.0465 95.83
1130 0.1110 93.75 0.1410 96.72
1140 0.0764 96.88 0.0536 95.65
1150 0.4365 87.50 0.3496 95.66
1160 0.2190 90.62 0.2275 94.94
1170 0.1393 96.88 0.0992 95.83
1180 0.0501 100.00 0.0534 94.99
1190 0.0293 100.00 0.0463 95.72
1200 0.3590 87.50 0.3609 95.47
1210 0.1596 93.75 0.2092 96.61
1220 0.0990 93.75 0.1989 95.93
1230 0.3197 93.75 0.1991 96.11
1240 0.1092 93.75 0.1630 96.64
1250 0.0839 96.88 0.1301 97.17
1260 0.2352 93.75 0.1986 96.19
1270 0.0833 96.88 0.0587 96.09
1280 0.0747 100.00 0.0520 95.29
1290 0.0285 100.00 0.0284 97.27
1300 0.0918 96.88 0.0920 97.38
1310 0.1335 96.88 0.0724 96.17
1320 0.0481 100.00 0.0287 97.23
1330 0.1226 96.88 0.1471 97.01
1340 0.0846 96.88 0.0800 96.49
1350 0.0576 96.88 0.0615 96.51
1360 0.1116 96.88 0.1110 96.49
1370 0.0502 96.88 0.1160 95.97
1380 0.1665 96.88 0.0901 96.87
1390 0.3586 87.50 0.3612 95.89
1400 0.1861 93.75 0.2058 97.17
1410 0.0819 100.00 0.0470 95.58
1420 0.2023 93.75 0.2306 96.58
1430 0.1118 96.88 0.1156 96.44
1440 0.0344 100.00 0.0264 97.44
1450 0.0441 100.00 0.0300 97.10
1460 0.0224 100.00 0.0337 96.79
1470 0.2659 96.88 0.1350 96.70
1480 0.1715 96.88 0.0918 97.33
1490 0.1509 96.88 0.1203 98.32
1500 0.0756 96.88 0.1552 97.61
1510 0.0565 96.88 0.1648 98.69
1520 0.1043 93.75 0.2119 97.18
1530 0.0055 100.00 0.0389 96.28
1540 0.1191 96.88 0.0903 95.22
1550 0.0175 100.00 0.0497 95.46
1560 0.1005 93.75 0.1952 96.62
1570 0.1958 90.62 0.2367 95.54
1580 0.0330 100.00 0.0254 97.54
1590 0.0208 100.00 0.0290 97.19
1600 0.0374 100.00 0.0373 96.49
1610 0.0477 100.00 0.0457 95.74
1620 0.0416 100.00 0.0367 96.59
1630 0.1782 90.62 0.2581 97.13
1640 0.1062 96.88 0.1147 97.81
