batch class_loss class_acc conf_loss conf
0 0.6959 46.88 0.6984 51.16
10 0.6836 56.25 0.6889 51.83
20 0.6848 65.62 0.6840 51.65
30 0.6758 59.38 0.6679 53.00
40 0.7017 46.88 0.6934 52.64
50 0.6899 50.00 0.7109 51.40
60 0.7066 46.88 0.7024 51.23
70 0.7224 37.50 0.7085 53.03
80 0.6964 56.25 0.6939 52.39
90 0.6951 46.88 0.7063 52.21
100 0.6898 59.38 0.6742 50.61
110 0.7148 50.00 0.6983 49.67
120 0.6891 56.25 0.7100 48.90
130 0.7085 37.50 0.6883 48.02
140 0.7072 40.62 0.6930 48.81
150 0.6883 50.00 0.6921 49.79
160 0.6878 56.25 0.6926 50.78
170 0.6994 50.00 0.7039 51.81
180 0.6885 53.12 0.6856 53.07
190 0.7087 46.88 0.6991 53.57
200 0.7013 43.75 0.7107 53.02
210 0.7026 43.75 0.7002 52.15
220 0.6783 59.38 0.6873 52.23
230 0.7001 46.88 0.6933 52.80
240 0.7104 31.25 0.7173 52.11
250 0.6961 40.62 0.7142 51.96
260 0.6636 71.88 0.6788 51.33
270 0.6874 50.00 0.6897 52.09
280 0.6876 50.00 0.6941 52.42
290 0.7078 43.75 0.6990 51.86
300 0.6952 50.00 0.6985 51.00
310 0.7043 46.88 0.6910 50.60
