batch class_loss class_acc conf_loss conf
0 0.7225 40.62 0.6971 51.41
10 0.7045 50.00 0.7379 48.23
20 0.7391 37.50 0.6872 48.63
30 0.6810 59.38 0.7375 48.50
40 0.6926 46.88 0.6757 49.37
50 0.6824 56.25 0.6810 51.19
60 0.7275 43.75 0.7178 53.25
70 0.6975 53.12 0.6831 50.50
80 0.7038 56.25 0.6625 48.24
90 0.7053 31.25 0.6900 49.87
100 0.7048 40.62 0.6813 49.58
110 0.6998 46.88 0.6889 49.94
120 0.7126 40.62 0.6985 53.38
130 0.7080 37.50 0.7093 48.19
140 0.6975 50.00 0.6873 47.32
150 0.7175 25.00 0.6555 47.82
160 0.7071 43.75 0.6842 46.43
170 0.6872 56.25 0.6881 47.24
180 0.6974 46.88 0.6976 48.96
190 0.7376 37.50 0.6859 49.52
200 0.6719 65.62 0.7213 46.23
210 0.7124 40.62 0.6961 48.11
220 0.7132 40.62 0.6888 49.16
230 0.6992 46.88 0.7033 50.88
240 0.6926 53.12 0.6893 49.08
250 0.7086 46.88 0.6818 50.97
260 0.7114 40.62 0.7242 54.79
270 0.6948 43.75 0.7035 50.79
280 0.6875 50.00 0.6921 47.51
290 0.7077 46.88 0.6948 48.31
300 0.7030 43.75 0.6959 49.10
310 0.7003 40.62 0.6879 49.74
