batch class_loss class_acc conf_loss conf
0 0.6803 56.25 0.6788 49.30
10 0.7090 31.25 0.6988 51.16
20 0.6811 65.62 0.6995 52.09
30 0.6665 59.38 0.6569 53.03
40 0.6780 65.62 0.6786 54.08
50 0.6941 50.00 0.7078 55.25
60 0.6769 59.38 0.6746 53.93
70 0.6880 56.25 0.6922 53.40
80 0.6545 62.50 0.6599 54.35
90 0.6767 50.00 0.6889 53.43
100 0.6706 68.75 0.6799 51.89
110 0.6761 59.38 0.6683 51.18
120 0.6782 53.12 0.6682 51.95
130 0.6908 56.25 0.6906 52.04
140 0.6907 53.12 0.6971 52.00
150 0.6982 50.00 0.6919 54.13
160 0.6553 56.25 0.6769 54.96
170 0.6814 53.12 0.6830 55.14
180 0.6998 46.88 0.7083 54.94
190 0.6891 56.25 0.6797 55.47
200 0.6915 53.12 0.6748 55.69
210 0.6503 59.38 0.6681 54.78
220 0.7162 37.50 0.7384 52.70
230 0.6999 50.00 0.6880 51.11
240 0.6274 65.62 0.6254 51.49
250 0.7278 46.88 0.6915 52.25
260 0.7106 56.25 0.7210 52.25
270 0.6636 68.75 0.6872 51.06
280 0.7025 53.12 0.6928 51.36
290 0.7003 50.00 0.6815 50.76
300 0.6828 59.38 0.6918 51.35
310 0.6970 53.12 0.6886 51.76
