batch class_loss class_acc conf_loss conf
0 0.7174 37.50 0.7085 54.38
10 0.6907 50.00 0.6844 51.19
20 0.6896 53.12 0.6804 48.76
30 0.6934 59.38 0.6983 48.80
40 0.6935 43.75 0.6931 48.98
50 0.7037 50.00 0.7211 50.74
60 0.6968 50.00 0.6915 50.56
70 0.7022 50.00 0.6806 50.80
80 0.7097 53.12 0.7150 50.02
90 0.6939 50.00 0.6906 48.49
100 0.6954 46.88 0.7080 48.20
110 0.7393 37.50 0.7093 50.64
120 0.6868 59.38 0.6859 52.19
130 0.6885 46.88 0.6901 51.13
140 0.7074 40.62 0.7235 50.69
150 0.6818 59.38 0.6987 50.11
160 0.6837 53.12 0.6904 53.21
170 0.6686 59.38 0.6655 52.37
180 0.6839 53.12 0.6956 51.33
190 0.6876 56.25 0.6919 53.15
200 0.7080 46.88 0.6981 52.15
210 0.6847 59.38 0.6867 50.48
220 0.6875 46.88 0.6897 52.09
230 0.7028 43.75 0.7023 53.42
240 0.7037 50.00 0.7060 52.10
250 0.7197 43.75 0.6955 50.91
260 0.6737 62.50 0.7034 48.41
270 0.6865 56.25 0.6852 49.52
280 0.7026 53.12 0.7011 50.62
290 0.7051 50.00 0.6805 51.12
300 0.6932 56.25 0.6796 52.09
310 0.6960 50.00 0.7027 49.88
