batch class_loss class_acc conf_loss conf
0 0.6998 40.62 0.7080 52.74
10 0.7033 37.50 0.6688 49.40
20 0.7143 31.25 0.6880 49.21
30 0.6857 59.38 0.6941 48.25
40 0.7131 34.38 0.6915 50.40
50 0.6876 59.38 0.6861 52.30
60 0.6916 46.88 0.6930 52.74
70 0.6852 59.38 0.6941 52.63
80 0.6826 50.00 0.6939 51.23
90 0.6620 65.62 0.6672 51.16
100 0.6976 43.75 0.6892 52.10
110 0.6787 46.88 0.6833 52.09
120 0.6710 53.12 0.6905 51.59
130 0.6703 50.00 0.6841 53.12
140 0.7267 37.50 0.7226 54.63
150 0.7220 34.38 0.7232 54.00
160 0.7053 50.00 0.7017 50.30
170 0.6959 53.12 0.6939 48.76
180 0.6852 56.25 0.6782 48.39
190 0.6824 53.12 0.7008 47.75
200 0.6895 59.38 0.7088 48.51
210 0.6742 56.25 0.6881 51.10
220 0.7101 37.50 0.7013 52.66
230 0.6839 50.00 0.6976 51.26
240 0.6997 56.25 0.6936 49.13
250 0.6918 53.12 0.7087 49.64
260 0.7176 43.75 0.6869 50.72
270 0.6608 62.50 0.6701 52.18
280 0.6926 46.88 0.6985 54.78
290 0.7131 40.62 0.7080 52.12
300 0.6756 59.38 0.6718 49.25
310 0.7044 40.62 0.6881 49.24
