batch class_loss class_acc conf_loss conf
0 0.6829 62.50 0.6880 51.69
10 0.6860 56.25 0.6736 56.66
20 0.6980 43.75 0.7035 56.48
30 0.7047 50.00 0.7062 53.74
40 0.6937 56.25 0.6894 53.11
50 0.6989 46.88 0.6943 51.73
60 0.6694 53.12 0.6818 51.93
70 0.6953 62.50 0.6898 50.36
80 0.6845 65.62 0.6803 50.14
90 0.7029 46.88 0.6884 49.25
100 0.7388 31.25 0.6814 48.61
110 0.6837 43.75 0.6712 48.07
120 0.6710 59.38 0.6885 50.15
130 0.6828 62.50 0.7011 50.59
140 0.6966 53.12 0.7058 50.46
150 0.7021 50.00 0.6813 49.56
160 0.6812 50.00 0.6925 48.45
170 0.7178 46.88 0.6644 49.19
180 0.7045 56.25 0.7264 51.18
190 0.6758 56.25 0.6967 53.24
200 0.6915 59.38 0.6759 53.47
210 0.6919 59.38 0.6959 52.41
220 0.7006 40.62 0.7309 54.06
230 0.6770 68.75 0.6667 53.04
240 0.6599 62.50 0.6764 53.15
250 0.6558 75.00 0.6729 52.74
260 0.7507 34.38 0.7377 53.80
270 0.6919 40.62 0.6931 50.23
280 0.7204 40.62 0.6833 48.11
290 0.6909 50.00 0.7006 46.93
300 0.6966 56.25 0.6993 48.24
310 0.6760 62.50 0.6851 51.68
