batch class_loss class_acc conf_loss conf
0 0.7101 56.25 0.7054 51.47
10 0.7453 34.38 0.7505 53.35
20 0.6878 56.25 0.6788 50.89
30 0.7323 46.88 0.6918 52.33
40 0.6960 46.88 0.6758 48.15
50 0.7037 43.75 0.6922 47.20
60 0.6814 56.25 0.7306 49.12
70 0.7468 50.00 0.7618 50.38
80 0.6744 59.38 0.7029 51.11
90 0.7002 53.12 0.7383 48.60
100 0.6766 62.50 0.7014 50.94
110 0.7197 56.25 0.7379 51.12
120 0.7011 46.88 0.6913 48.94
130 0.7034 40.62 0.6998 48.05
140 0.6615 68.75 0.7165 48.33
150 0.6651 65.62 0.6851 53.35
160 0.7000 43.75 0.6927 51.34
170 0.7068 53.12 0.6972 46.16
180 0.7236 53.12 0.6977 49.37
190 0.6977 53.12 0.6986 52.05
200 0.6941 53.12 0.6980 49.55
210 0.6865 56.25 0.7125 46.36
220 0.7035 40.62 0.6883 48.24
230 0.6953 46.88 0.7029 49.55
240 0.7051 43.75 0.7097 52.91
250 0.7231 43.75 0.6983 53.42
260 0.6915 46.88 0.6884 52.41
270 0.6872 53.12 0.7051 51.09
280 0.6725 56.25 0.7072 52.93
290 0.7109 40.62 0.7009 51.25
300 0.6683 56.25 0.6739 51.15
310 0.6991 59.38 0.6991 51.93
