batch class_loss class_acc conf_loss conf
0 0.7074 40.62 0.7114 52.13
10 0.6857 50.00 0.6950 53.02
20 0.6890 62.50 0.6789 53.11
30 0.7056 40.62 0.7054 53.12
40 0.6979 50.00 0.6724 52.48
50 0.7013 46.88 0.7037 50.53
60 0.7051 46.88 0.6874 50.79
70 0.6557 65.62 0.6822 50.58
80 0.6899 56.25 0.6904 51.84
90 0.6869 50.00 0.6993 54.77
100 0.6907 62.50 0.6712 54.22
110 0.6887 43.75 0.7082 52.27
120 0.6895 53.12 0.6889 49.76
130 0.6674 65.62 0.6922 50.98
140 0.6764 56.25 0.6954 52.47
150 0.7031 62.50 0.6753 53.36
160 0.7071 50.00 0.7164 53.29
170 0.7022 53.12 0.7057 53.13
180 0.6839 50.00 0.6906 51.47
190 0.6759 62.50 0.6781 51.51
200 0.6702 59.38 0.6813 52.11
210 0.7034 43.75 0.6957 52.74
220 0.6787 59.38 0.6859 51.99
230 0.7033 50.00 0.6967 51.84
240 0.6865 53.12 0.6810 53.26
250 0.7018 53.12 0.6917 53.05
260 0.6803 53.12 0.7091 50.08
270 0.6709 65.62 0.7145 47.94
280 0.7251 37.50 0.6946 49.82
290 0.6894 53.12 0.6997 51.88
300 0.6847 59.38 0.6792 52.93
310 0.7135 34.38 0.7237 52.98
