batch class_loss class_acc conf_loss conf
0 0.6942 50.00 0.7063 50.57
10 0.6926 50.00 0.6947 50.41
20 0.6625 56.25 0.6692 52.04
30 0.6885 53.12 0.6752 50.05
40 0.6708 75.00 0.7395 46.82
50 0.6912 53.12 0.6980 48.02
60 0.6833 56.25 0.6836 50.77
70 0.7215 31.25 0.7071 51.00
80 0.7074 43.75 0.6956 50.03
90 0.6927 46.88 0.7012 51.84
100 0.7001 46.88 0.6854 50.97
110 0.7095 46.88 0.6979 50.68
120 0.6934 53.12 0.6821 49.64
130 0.6840 62.50 0.7165 48.32
140 0.6893 53.12 0.6917 47.60
150 0.6782 56.25 0.7010 49.88
160 0.7627 31.25 0.7331 54.14
170 0.7047 46.88 0.7152 53.72
180 0.6850 46.88 0.6876 51.31
190 0.6950 53.12 0.6969 50.04
200 0.6886 50.00 0.7059 50.10
210 0.7174 50.00 0.6992 50.83
220 0.7029 53.12 0.6904 49.97
230 0.6677 65.62 0.6809 52.20
240 0.7006 43.75 0.7093 54.65
250 0.7009 43.75 0.6909 54.06
260 0.6732 59.38 0.6769 53.07
270 0.7103 46.88 0.6980 52.46
280 0.6895 59.38 0.7123 52.67
290 0.6994 53.12 0.7066 51.13
300 0.7180 43.75 0.6931 49.14
310 0.7060 50.00 0.6775 48.72
