batch class_loss class_acc conf_loss conf
0 0.7170 34.38 0.6856 46.82
10 0.6822 65.62 0.7959 45.60
20 0.6664 46.88 0.6648 55.75
30 0.7061 40.62 0.7182 52.08
40 0.7049 50.00 0.7081 45.20
50 0.6998 50.00 0.6684 48.81
60 0.6893 56.25 0.6836 51.39
70 0.6995 43.75 0.6795 50.85
80 0.6800 59.38 0.7000 54.42
90 0.7017 53.12 0.6839 49.35
100 0.7092 34.38 0.6937 48.10
110 0.6650 62.50 0.6876 50.38
120 0.6898 46.88 0.6658 49.16
130 0.6892 50.00 0.7099 47.75
140 0.6808 56.25 0.6660 51.77
150 0.7080 37.50 0.7076 53.94
160 0.6818 50.00 0.7110 47.67
170 0.6973 56.25 0.7183 48.85
180 0.6997 34.38 0.7169 53.09
190 0.6987 46.88 0.7076 51.31
200 0.6911 53.12 0.6942 51.67
210 0.7052 40.62 0.6980 51.39
220 0.6502 65.62 0.7289 48.74
230 0.6872 56.25 0.7032 48.29
240 0.6968 46.88 0.6746 50.31
250 0.6746 59.38 0.6917 51.71
260 0.6781 59.38 0.6885 50.24
270 0.6967 46.88 0.6975 50.68
280 0.7044 46.88 0.6837 52.08
290 0.7118 53.12 0.6933 53.25
300 0.6881 65.62 0.6699 52.36
310 0.7181 46.88 0.6994 55.00
