batch class_loss class_acc conf_loss conf
0 0.6973 46.88 0.7017 47.42
10 0.6607 68.75 0.6909 50.71
20 0.6975 50.00 0.6851 54.00
30 0.6937 46.88 0.6880 54.03
40 0.6772 56.25 0.6788 54.35
50 0.7270 43.75 0.7179 55.71
60 0.6881 50.00 0.7066 50.10
70 0.7225 53.12 0.6983 47.98
80 0.6475 65.62 0.7012 49.58
90 0.7098 56.25 0.6974 50.83
100 0.6886 65.62 0.7005 48.51
110 0.6921 56.25 0.6866 52.71
120 0.7700 25.00 0.7733 57.20
130 0.6894 50.00 0.6828 53.03
140 0.6923 46.88 0.6752 52.42
150 0.6901 56.25 0.7096 50.23
160 0.7081 40.62 0.6983 50.65
170 0.6793 59.38 0.6987 51.18
180 0.7109 37.50 0.6976 51.99
190 0.6888 50.00 0.6689 49.69
200 0.7025 43.75 0.7017 48.79
210 0.6891 56.25 0.6984 50.48
220 0.7057 40.62 0.7129 53.21
230 0.6892 50.00 0.6939 53.44
240 0.6891 62.50 0.6794 51.72
250 0.7071 53.12 0.6964 53.14
260 0.6758 56.25 0.6888 54.19
270 0.6922 53.12 0.6948 55.09
280 0.6634 68.75 0.6505 56.18
290 0.6989 56.25 0.7068 53.80
300 0.6853 68.75 0.6887 49.61
310 0.6933 53.12 0.7127 47.25
