batch class_loss class_acc conf_loss conf
0 2.2977 12.50 0.7062 50.48
10 2.0366 43.75 0.7419 30.36
20 1.8192 53.12 0.7759 32.51
30 1.4722 78.12 0.7309 46.72
40 1.1382 75.00 0.5387 61.64
50 1.0520 78.12 0.5191 71.39
60 0.7271 93.75 0.3041 77.89
70 0.8726 81.25 0.4685 82.18
80 0.5619 90.62 0.3192 84.39
90 0.7430 75.00 0.5277 87.21
100 0.5960 84.38 0.3852 87.86
110 0.4201 90.62 0.3033 88.05
120 0.6359 84.38 0.3763 88.04
130 0.1647 100.00 0.1274 88.35
140 0.4394 87.50 0.3248 88.14
150 0.2944 90.62 0.2549 89.62
160 0.3611 93.75 0.2293 90.10
170 0.3169 90.62 0.2223 90.12
180 0.2862 90.62 0.2996 91.30
190 0.2594 93.75 0.2049 91.99
200 0.1123 100.00 0.0796 92.53
210 0.3229 90.62 0.2902 91.77
220 0.2798 93.75 0.2029 91.61
230 0.2163 93.75 0.1345 92.27
240 0.2300 90.62 0.3126 92.54
250 0.5314 81.25 0.4381 93.04
260 0.1679 96.88 0.1273 92.87
270 0.2083 93.75 0.1848 92.05
280 0.3157 90.62 0.2957 92.61
290 0.1507 96.88 0.1606 94.42
300 0.5975 81.25 0.4785 92.27
310 0.1113 100.00 0.0755 93.07
320 0.4926 84.38 0.3880 92.58
330 0.3169 90.62 0.2886 92.80
340 0.0678 100.00 0.0774 92.79
350 0.2606 93.75 0.1918 93.88
360 0.0713 100.00 0.0592 94.41
370 0.1986 90.62 0.2495 94.23
380 0.2645 93.75 0.2424 94.03
390 0.3021 90.62 0.2265 93.97
400 0.1137 93.75 0.2020 93.93
410 0.2117 93.75 0.2316 93.67
420 0.2342 93.75 0.2362 94.58
430 0.2852 93.75 0.1320 93.92
440 0.2261 93.75 0.1497 93.81
450 0.0963 96.88 0.1459 95.39
460 0.2744 93.75 0.2197 94.36
470 0.4767 87.50 0.3576 94.46
480 0.1268 93.75 0.1957 94.16
490 0.1387 96.88 0.1208 94.24
500 0.1874 90.62 0.2053 94.10
510 0.0986 96.88 0.1043 94.26
520 0.3766 90.62 0.2732 93.70
530 0.3326 93.75 0.2928 92.81
540 0.1820 93.75 0.2200 93.48
550 0.2209 93.75 0.2428 93.43
560 0.3523 90.62 0.3910 94.69
570 0.1544 96.88 0.1240 95.20
580 0.1359 93.75 0.1463 95.40
590 0.2201 93.75 0.1965 94.85
600 0.3633 93.75 0.3006 93.46
610 0.0420 100.00 0.0648 94.01
620 0.5020 90.62 0.3194 92.70
630 0.1392 90.62 0.2813 93.68
640 0.2672 90.62 0.2877 94.81
650 0.0159 100.00 0.0458 95.67
660 0.1399 96.88 0.0877 95.31
670 0.0958 96.88 0.1431 95.11
680 0.0681 96.88 0.0855 96.28
690 0.0264 100.00 0.0324 96.86
700 0.1080 96.88 0.1417 96.11
710 0.1015 96.88 0.1933 96.02
720 0.1004 96.88 0.1053 95.06
730 0.1179 93.75 0.1565 94.41
740 0.0932 96.88 0.0784 94.57
750 0.0725 100.00 0.0677 94.05
760 0.1458 93.75 0.1550 95.40
770 0.0521 100.00 0.0458 95.75
780 0.0266 100.00 0.0355 96.59
790 0.0379 100.00 0.0461 95.77
800 0.0225 100.00 0.0351 96.67
810 0.1071 96.88 0.0733 96.39
820 0.0070 100.00 0.0398 96.21
830 0.1984 93.75 0.1414 95.19
840 0.1624 93.75 0.2479 95.62
850 0.0289 100.00 0.0382 96.38
860 0.2513 90.62 0.2137 95.20
870 0.2608 90.62 0.2954 95.19
880 0.1136 96.88 0.0786 93.97
890 0.0675 96.88 0.1342 93.48
900 0.0133 100.00 0.0418 96.01
910 0.1479 93.75 0.1653 96.00
920 0.0852 93.75 0.1731 95.21
930 0.0264 100.00 0.0481 95.43
940 0.0815 100.00 0.0470 95.59
950 0.1384 96.88 0.0912 96.66
960 0.0712 96.88 0.1410 96.48
970 0.0842 96.88 0.1325 96.66
980 0.0558 96.88 0.0878 96.88
990 0.5240 87.50 0.4414 95.27
