batch class_loss class_acc conf_loss conf
0 0.6754 59.38 0.6846 52.56
10 0.6959 53.12 0.6837 52.69
20 0.7003 53.12 0.6778 54.00
30 0.7079 31.25 0.7175 53.92
40 0.6941 62.50 0.7079 52.77
50 0.6909 56.25 0.6817 50.87
60 0.7045 53.12 0.7001 51.03
70 0.6863 53.12 0.6883 50.97
80 0.6920 46.88 0.6731 49.85
90 0.7037 53.12 0.6818 50.15
100 0.6971 40.62 0.6999 52.06
110 0.6847 53.12 0.6881 53.08
120 0.6897 62.50 0.6701 54.89
130 0.6443 71.88 0.6391 57.33
140 0.6588 56.25 0.6620 54.37
150 0.6910 53.12 0.6864 51.34
160 0.7225 37.50 0.7303 52.17
170 0.6800 59.38 0.6959 52.24
180 0.6695 56.25 0.6752 53.97
190 0.6831 59.38 0.6910 51.88
200 0.6932 56.25 0.6959 51.16
210 0.6919 56.25 0.6876 50.88
220 0.6736 62.50 0.6787 51.35
230 0.7132 37.50 0.7079 51.22
240 0.7033 46.88 0.6965 49.60
250 0.6799 62.50 0.7096 50.05
260 0.6926 43.75 0.6918 51.30
270 0.6933 56.25 0.6920 50.94
280 0.7058 56.25 0.6951 50.28
290 0.6908 46.88 0.6942 50.87
300 0.6982 50.00 0.7039 50.94
310 0.6997 43.75 0.6931 49.80
