batch class_loss class_acc conf_loss conf
0 0.6966 43.75 0.6914 51.31
10 0.7172 53.12 0.7258 51.80
20 0.7240 37.50 0.7339 55.44
30 0.6804 56.25 0.6886 48.95
40 0.6508 68.75 0.6676 49.16
50 0.6819 65.62 0.6964 48.97
60 0.7136 37.50 0.6781 48.63
70 0.7062 46.88 0.7166 52.76
80 0.7361 28.12 0.7091 50.22
90 0.6840 59.38 0.7353 46.21
100 0.7166 31.25 0.6872 49.65
110 0.6873 56.25 0.7025 48.27
120 0.6975 53.12 0.7092 49.95
130 0.7167 40.62 0.7240 55.18
140 0.7014 56.25 0.6845 50.40
150 0.6801 59.38 0.7259 47.66
160 0.6941 43.75 0.7056 47.71
170 0.7020 50.00 0.6944 48.47
180 0.6862 50.00 0.6888 49.41
190 0.6946 40.62 0.6816 49.80
200 0.6667 65.62 0.7206 46.95
210 0.6931 59.38 0.6994 49.45
220 0.6786 65.62 0.7044 50.57
230 0.6711 65.62 0.6994 49.91
240 0.6802 53.12 0.6802 48.31
250 0.6887 56.25 0.6990 46.29
260 0.6929 53.12 0.7197 47.53
270 0.6970 43.75 0.6873 51.06
280 0.6803 56.25 0.6885 52.62
290 0.6846 50.00 0.6966 49.50
300 0.6983 46.88 0.7105 46.64
310 0.6976 37.50 0.7133 48.36
