batch class_loss class_acc conf_loss conf
0 0.7024 53.12 0.6982 51.92
10 0.6902 59.38 0.6886 53.54
20 0.6763 59.38 0.6788 56.10
30 0.6981 53.12 0.7171 58.39
40 0.6593 68.75 0.6545 56.19
50 0.6590 65.62 0.6582 56.22
60 0.7299 46.88 0.7257 58.06
70 0.6891 50.00 0.7117 57.85
80 0.6732 59.38 0.6816 56.35
90 0.6949 50.00 0.7213 55.10
100 0.6880 56.25 0.7000 52.09
110 0.7109 50.00 0.7000 51.64
120 0.7008 40.62 0.6889 51.61
130 0.7024 53.12 0.7178 51.08
140 0.7162 43.75 0.6887 50.87
150 0.6874 50.00 0.6956 50.26
160 0.6976 46.88 0.6994 50.26
170 0.7141 28.12 0.6966 50.93
180 0.6959 40.62 0.6838 50.78
190 0.7080 43.75 0.6937 51.71
200 0.6878 53.12 0.6883 53.28
210 0.6757 56.25 0.7216 52.31
220 0.6888 50.00 0.6922 50.48
230 0.6884 46.88 0.6958 48.70
240 0.6954 46.88 0.6871 48.37
250 0.6766 56.25 0.6946 50.09
260 0.6884 40.62 0.7010 50.98
270 0.6958 43.75 0.6893 48.37
280 0.7194 43.75 0.6922 48.83
290 0.6803 59.38 0.6867 51.62
300 0.7007 43.75 0.7030 53.38
310 0.6806 59.38 0.6921 52.50
