batch class_loss class_acc conf_loss conf
0 0.6953 56.25 0.7074 55.11
10 0.7148 50.00 0.6644 51.07
20 0.6837 56.25 0.6893 46.01
30 0.7233 46.88 0.7203 48.89
40 0.7043 50.00 0.6710 53.01
50 0.6913 56.25 0.7176 53.99
60 0.7197 37.50 0.6834 51.39
70 0.6683 62.50 0.7484 46.27
80 0.6995 43.75 0.6464 47.06
90 0.7196 37.50 0.6867 51.44
100 0.6962 56.25 0.7128 53.21
110 0.6809 56.25 0.6874 52.94
120 0.7006 56.25 0.6590 51.97
130 0.7092 46.88 0.6837 51.82
140 0.6882 56.25 0.6851 50.95
150 0.6735 62.50 0.6983 50.21
160 0.6870 43.75 0.6730 48.79
170 0.6684 68.75 0.7150 48.15
180 0.6893 59.38 0.7116 50.48
190 0.6983 43.75 0.6914 48.23
200 0.7506 18.75 0.6863 49.08
210 0.6918 43.75 0.6982 48.60
220 0.7053 40.62 0.7001 49.27
230 0.6985 46.88 0.7037 48.58
240 0.6989 50.00 0.6882 50.48
250 0.7186 46.88 0.7027 52.89
260 0.7094 40.62 0.7144 55.62
270 0.7017 56.25 0.7085 52.44
280 0.7030 46.88 0.7144 53.63
290 0.7066 68.75 0.6966 53.99
300 0.6947 53.12 0.7162 50.41
310 0.7171 43.75 0.7104 50.37
