batch class_loss class_acc conf_loss conf
0 0.7228 31.25 0.6984 51.23
10 0.7198 34.38 0.7116 52.81
20 0.6800 59.38 0.6806 52.18
30 0.7104 43.75 0.7029 52.28
40 0.6970 50.00 0.6925 48.88
50 0.6808 56.25 0.7037 50.16
60 0.6875 59.38 0.6942 51.78
70 0.6792 65.62 0.6758 55.50
80 0.7117 37.50 0.7351 54.77
90 0.6901 62.50 0.6880 48.93
100 0.6926 50.00 0.6769 48.26
110 0.6910 53.12 0.6915 49.71
120 0.6811 68.75 0.7039 48.88
130 0.7121 40.62 0.6881 50.19
140 0.6942 50.00 0.6821 47.86
150 0.6695 62.50 0.7169 46.71
160 0.7083 50.00 0.7027 50.71
170 0.7035 34.38 0.6930 50.85
180 0.6842 59.38 0.6977 48.42
190 0.7163 46.88 0.7003 50.71
200 0.6754 62.50 0.6794 51.53
210 0.6781 59.38 0.6927 52.20
220 0.6878 59.38 0.6668 53.85
230 0.7231 31.25 0.7046 52.76
240 0.6929 50.00 0.6979 49.89
250 0.7005 56.25 0.7118 47.89
260 0.6922 50.00 0.6971 46.87
270 0.6909 56.25 0.7005 46.48
280 0.6854 59.38 0.6943 49.94
290 0.6887 53.12 0.6907 50.92
300 0.7085 37.50 0.6935 52.83
310 0.6961 50.00 0.6987 50.70
