batch class_loss class_acc conf_loss conf
0 0.7076 50.00 0.6942 52.31
10 0.6755 59.38 0.6833 53.07
20 0.6648 62.50 0.6737 53.32
30 0.6894 53.12 0.6866 52.15
40 0.6875 56.25 0.6834 51.61
50 0.6956 50.00 0.7055 52.39
60 0.6854 46.88 0.6841 51.88
70 0.7051 43.75 0.6965 53.78
80 0.6558 71.88 0.6503 54.99
90 0.7015 46.88 0.7169 54.53
100 0.6692 68.75 0.6645 52.89
110 0.6749 53.12 0.6840 52.66
120 0.6920 46.88 0.7058 52.54
130 0.6818 53.12 0.6865 52.29
140 0.6774 65.62 0.6995 53.02
150 0.6746 50.00 0.6700 54.62
160 0.6969 53.12 0.6956 54.02
170 0.7059 40.62 0.7013 53.54
180 0.7133 46.88 0.6978 52.49
190 0.6895 50.00 0.6878 50.53
200 0.6897 59.38 0.7027 48.94
210 0.6836 56.25 0.6986 49.45
220 0.6737 75.00 0.6831 51.75
230 0.6888 53.12 0.6892 53.73
240 0.6860 53.12 0.6897 54.74
250 0.6758 59.38 0.6861 53.36
260 0.7079 43.75 0.6963 52.94
270 0.6873 46.88 0.6912 51.70
280 0.6871 56.25 0.6891 51.08
290 0.7288 34.38 0.6966 51.52
300 0.7071 50.00 0.6983 52.98
310 0.7099 56.25 0.7133 54.25
