batch class_loss class_acc conf_loss conf
0 0.6826 59.38 0.6881 51.66
10 0.6690 53.12 0.6724 53.13
20 0.7050 56.25 0.6848 52.76
30 0.6992 46.88 0.7174 51.26
40 0.6870 53.12 0.6882 50.45
50 0.6877 59.38 0.6815 51.21
60 0.6836 59.38 0.6993 50.23
70 0.6883 53.12 0.6850 50.03
80 0.7007 40.62 0.6893 49.76
90 0.6712 53.12 0.6784 50.05
100 0.6975 50.00 0.6994 51.75
110 0.7017 50.00 0.6974 51.50
120 0.6612 65.62 0.6787 51.67
130 0.6717 56.25 0.6720 53.64
140 0.7200 34.38 0.7160 52.94
150 0.7013 50.00 0.7012 52.22
160 0.6833 46.88 0.7039 52.56
170 0.6926 56.25 0.6958 51.89
180 0.6773 68.75 0.6827 51.14
190 0.6936 46.88 0.7016 50.80
200 0.6827 56.25 0.6843 51.20
210 0.6760 59.38 0.6852 52.04
220 0.7032 43.75 0.7018 52.82
230 0.6995 53.12 0.6986 51.25
240 0.6831 50.00 0.7013 51.41
250 0.6709 68.75 0.6732 51.61
260 0.7042 34.38 0.7099 52.23
270 0.7129 40.62 0.7013 52.30
280 0.6956 56.25 0.6994 52.49
290 0.6818 53.12 0.6866 52.51
300 0.6914 50.00 0.6951 52.29
310 0.6936 59.38 0.6885 51.70
