batch class_loss class_acc conf_loss conf
1560 0.1352 96.88 0.1214 97.81
1570 0.1477 93.75 0.1639 96.33
1580 0.0383 100.00 0.0341 96.85
1590 0.0825 96.88 0.1017 98.89
1600 0.1099 93.75 0.1970 97.63
1610 0.0978 93.75 0.3006 96.67
1620 0.0369 100.00 0.0571 95.23
1630 0.0984 96.88 0.1156 96.75
1640 0.0843 96.88 0.1492 97.92
1650 0.4976 87.50 0.3241 95.87
1660 0.0193 100.00 0.0418 96.41
1670 0.0097 100.00 0.0237 97.80
1680 0.0675 96.88 0.2158 97.28
1690 0.0363 100.00 0.0183 98.28
1700 0.0455 100.00 0.0230 97.94
1710 0.0028 100.00 0.0039 99.62
1720 0.0171 100.00 0.0133 98.72
1730 0.0126 100.00 0.0177 98.47
1740 0.1694 96.88 0.0927 98.62
1750 0.0418 100.00 0.0213 97.98
1760 0.0437 100.00 0.0274 97.41
1770 0.0010 100.00 0.0057 99.43
1780 0.1130 96.88 0.0786 99.03
1790 0.0797 96.88 0.1028 98.61
1800 0.0070 100.00 0.0197 98.23
1810 0.0030 100.00 0.0060 99.41
1820 0.0399 100.00 0.0290 97.37
1830 0.0190 100.00 0.0211 98.08
1840 0.0016 100.00 0.0104 98.99
1850 0.0340 100.00 0.0291 97.41
1860 0.0074 100.00 0.0099 99.02
1870 0.0685 96.88 0.0608 97.65
