batch class_loss class_acc conf_loss conf
0 0.6988 40.62 0.6932 49.96
10 0.6943 59.38 0.6783 50.71
20 0.6836 68.75 0.6751 51.72
30 0.7149 31.25 0.7194 54.53
40 0.6673 71.88 0.6577 51.96
50 0.6943 50.00 0.6984 50.50
60 0.7075 50.00 0.7072 49.67
70 0.7003 53.12 0.6958 49.48
80 0.6945 50.00 0.6949 49.14
90 0.6862 56.25 0.6856 50.37
100 0.6685 65.62 0.6707 53.01
110 0.6852 56.25 0.6769 53.94
120 0.6602 50.00 0.6758 55.51
130 0.6956 50.00 0.7072 53.67
140 0.6837 56.25 0.6859 52.55
150 0.6859 59.38 0.6870 52.76
160 0.7425 25.00 0.7373 53.89
170 0.6909 50.00 0.6897 53.61
180 0.6999 46.88 0.6972 53.27
190 0.6961 56.25 0.6970 50.95
200 0.6888 53.12 0.6945 49.46
210 0.6831 56.25 0.6989 49.13
220 0.6939 53.12 0.6833 49.53
230 0.6688 56.25 0.6777 50.13
240 0.6848 59.38 0.6914 50.52
250 0.6960 56.25 0.7004 49.94
260 0.6812 62.50 0.6964 49.76
270 0.7003 46.88 0.6899 49.57
280 0.6896 56.25 0.6790 50.59
290 0.7061 40.62 0.7026 50.68
300 0.6987 43.75 0.6933 50.46
310 0.6862 53.12 0.6845 50.40
