batch class_loss class_acc conf_loss conf
0 0.7146 40.62 0.6967 52.50
10 0.6929 53.12 0.6842 52.73
20 0.6921 56.25 0.7097 53.61
30 0.6918 43.75 0.7079 55.05
40 0.6947 53.12 0.6910 54.85
50 0.6705 56.25 0.6817 55.56
60 0.7024 53.12 0.6744 54.92
70 0.7029 53.12 0.6879 55.34
80 0.7167 43.75 0.7308 57.12
90 0.7265 43.75 0.7294 57.19
100 0.7057 40.62 0.7135 55.13
110 0.7014 40.62 0.7035 51.73
120 0.6622 59.38 0.6990 51.23
130 0.7006 50.00 0.6965 53.36
140 0.7120 56.25 0.7016 55.44
150 0.7136 53.12 0.6971 56.14
160 0.6890 59.38 0.6956 56.18
170 0.6507 62.50 0.6658 53.60
180 0.7036 43.75 0.7000 52.22
190 0.7312 34.38 0.7215 53.27
200 0.6909 59.38 0.6904 51.88
210 0.6953 53.12 0.6912 51.82
220 0.7196 40.62 0.7116 52.72
230 0.7125 40.62 0.7195 53.39
240 0.6866 59.38 0.6959 51.92
250 0.7262 31.25 0.7211 52.37
260 0.6762 53.12 0.6798 51.93
270 0.7174 46.88 0.7049 51.80
280 0.6879 65.62 0.6852 52.38
290 0.6985 53.12 0.6935 51.46
300 0.7025 37.50 0.6928 51.20
310 0.6930 53.12 0.6845 50.67
