batch class_loss class_acc conf_loss conf
0 0.7225 37.50 0.7085 51.95
10 0.7331 56.25 0.7018 47.28
20 0.7296 43.75 0.7057 51.42
30 0.7043 50.00 0.7011 51.00
40 0.6944 43.75 0.6800 48.54
50 0.7036 46.88 0.6602 48.03
60 0.7129 40.62 0.7384 50.51
70 0.7039 53.12 0.7352 52.59
80 0.6995 56.25 0.7046 54.96
90 0.7276 40.62 0.7272 53.95
100 0.7120 53.12 0.6878 48.17
110 0.7274 43.75 0.7073 48.74
120 0.6367 71.88 0.7100 48.44
130 0.6924 43.75 0.6850 48.22
140 0.7012 46.88 0.6896 46.84
150 0.7217 37.50 0.6700 47.41
160 0.6669 53.12 0.6924 51.43
170 0.7281 40.62 0.7168 53.02
180 0.6580 65.62 0.6939 50.43
190 0.7200 43.75 0.7039 51.63
200 0.7132 40.62 0.7388 52.24
210 0.6427 78.12 0.6532 52.24
220 0.6964 53.12 0.7334 53.49
230 0.7116 40.62 0.7090 50.70
240 0.7007 46.88 0.6855 45.62
250 0.7686 37.50 0.7235 51.75
260 0.6565 68.75 0.6962 48.74
270 0.7055 37.50 0.7094 49.48
280 0.7278 34.38 0.7228 50.82
290 0.6879 56.25 0.7061 48.87
300 0.6787 56.25 0.6875 50.07
310 0.6985 37.50 0.6846 50.12
