batch class_loss class_acc conf_loss conf
0 0.7083 40.62 0.7074 52.17
10 0.6888 53.12 0.6857 52.89
20 0.6818 56.25 0.6875 53.15
30 0.6892 37.50 0.6939 53.00
40 0.6833 56.25 0.6862 51.32
50 0.7021 50.00 0.7106 51.11
60 0.6675 75.00 0.6659 52.36
70 0.6845 53.12 0.6989 52.98
80 0.6860 53.12 0.6900 54.18
90 0.6923 53.12 0.6830 53.19
100 0.7061 43.75 0.6936 51.48
110 0.6922 50.00 0.7085 50.59
120 0.6995 53.12 0.7200 49.56
130 0.6958 50.00 0.6978 49.09
140 0.7248 59.38 0.7370 51.37
150 0.6890 62.50 0.6822 52.36
160 0.6840 53.12 0.6918 53.59
170 0.6834 53.12 0.6925 52.38
180 0.6761 59.38 0.6938 50.93
190 0.6823 40.62 0.6849 50.00
200 0.6521 71.88 0.7034 48.46
210 0.7198 46.88 0.7039 52.42
220 0.7027 50.00 0.7129 52.62
230 0.6700 62.50 0.6900 52.25
240 0.7004 53.12 0.6992 52.43
250 0.7107 50.00 0.6979 51.99
260 0.7045 43.75 0.6951 51.80
270 0.7038 43.75 0.6895 49.29
280 0.6921 40.62 0.6825 48.52
290 0.6981 40.62 0.6731 47.63
300 0.6740 53.12 0.6772 48.32
310 0.7365 31.25 0.7124 50.56
