batch class_loss class_acc conf_loss conf
0 0.6832 62.50 0.6899 51.03
10 0.7038 40.62 0.7043 52.38
20 0.6648 75.00 0.6593 53.61
30 0.6788 59.38 0.6901 54.80
40 0.7087 53.12 0.6910 54.58
50 0.7074 40.62 0.7468 55.20
60 0.6292 65.62 0.6659 53.51
70 0.7158 37.50 0.7128 54.13
80 0.6727 62.50 0.6757 53.59
90 0.6773 71.88 0.6809 53.45
100 0.6729 59.38 0.6623 53.85
110 0.6916 43.75 0.7035 53.49
120 0.6740 53.12 0.6800 53.01
130 0.6900 53.12 0.6856 52.95
140 0.6842 50.00 0.6960 51.23
150 0.7022 56.25 0.6897 51.36
160 0.6858 50.00 0.6965 53.73
170 0.7159 46.88 0.7390 55.28
180 0.6821 59.38 0.7103 53.94
190 0.6562 56.25 0.6767 53.48
200 0.6708 53.12 0.7005 51.95
210 0.6859 53.12 0.6780 50.65
220 0.7009 53.12 0.6757 50.62
230 0.6939 56.25 0.6850 50.14
240 0.6833 59.38 0.6830 50.07
250 0.6779 53.12 0.6844 51.18
260 0.6782 50.00 0.6784 51.71
270 0.6875 40.62 0.6898 52.44
280 0.6944 59.38 0.6859 52.48
290 0.7089 43.75 0.7071 52.17
300 0.7259 50.00 0.7160 51.33
310 0.7180 40.62 0.7025 51.22
