batch class_loss class_acc conf_loss conf
0 0.6947 50.00 0.6917 50.27
10 0.6644 75.00 0.6731 50.94
20 0.6747 62.50 0.6488 52.86
30 0.6627 62.50 0.6777 52.49
40 0.6704 53.12 0.6748 51.52
50 0.7042 50.00 0.7005 53.47
60 0.6668 65.62 0.6811 52.40
70 0.6911 53.12 0.6919 50.22
80 0.6676 53.12 0.6847 49.60
90 0.6670 68.75 0.6860 51.25
100 0.6642 56.25 0.6774 52.68
110 0.7303 56.25 0.7114 53.03
120 0.7586 43.75 0.7011 53.45
130 0.6968 53.12 0.6983 52.24
140 0.6726 65.62 0.6715 52.01
150 0.7010 56.25 0.7041 51.54
160 0.7128 37.50 0.7192 53.23
170 0.6702 56.25 0.6953 53.99
180 0.6921 46.88 0.6964 52.98
190 0.6956 59.38 0.6980 51.68
200 0.7060 43.75 0.7301 50.45
210 0.7154 43.75 0.7034 51.09
220 0.6912 53.12 0.6914 51.90
230 0.6800 53.12 0.6941 53.30
240 0.6808 59.38 0.6898 52.39
250 0.6903 50.00 0.6915 51.44
260 0.6867 53.12 0.6867 49.88
270 0.6759 59.38 0.6877 50.48
280 0.6931 59.38 0.6951 51.54
290 0.6893 50.00 0.7088 51.12
300 0.7013 43.75 0.6897 49.35
310 0.6937 53.12 0.6941 48.94
