batch class_loss class_acc conf_loss conf
0 2.2971 21.88 0.8275 59.99
10 2.2569 21.88 0.5349 34.41
20 2.1138 28.12 0.6365 23.88
30 2.0487 31.25 0.6084 27.87
40 1.9953 34.38 0.5855 33.63
50 1.6657 53.12 0.7124 40.12
60 1.5731 50.00 0.5973 47.12
70 1.4776 56.25 0.5636 53.49
80 1.4012 62.50 0.6859 54.82
90 1.1220 65.62 0.5444 59.09
100 1.2121 62.50 0.6157 61.60
110 1.0009 71.88 0.4626 64.60
120 1.1713 62.50 0.4668 65.48
130 0.8700 75.00 0.4388 65.78
140 1.0306 68.75 0.5762 69.73
150 1.1640 62.50 0.4322 68.61
160 0.9616 68.75 0.4730 66.10
170 0.6262 87.50 0.5425 69.24
180 0.9980 68.75 0.6003 68.08
190 1.1924 56.25 0.5319 65.97
200 1.1638 68.75 0.4109 68.33
210 0.8328 71.88 0.4342 71.85
220 0.9389 71.88 0.5116 72.01
230 1.0261 75.00 0.4522 71.96
240 1.1211 53.12 0.5453 71.71
250 0.8568 75.00 0.4076 72.14
260 0.9590 71.88 0.4963 74.21
270 0.8694 71.88 0.4210 73.38
280 0.9244 65.62 0.3837 70.10
290 0.9052 68.75 0.4554 71.33
300 0.5700 78.12 0.2180 73.24
310 0.6580 84.38 0.3531 71.71
320 0.7719 78.12 0.3165 72.02
330 0.7306 75.00 0.3187 73.84
340 0.5396 84.38 0.2416 74.82
350 0.8250 68.75 0.4050 72.24
360 0.9771 71.88 0.4172 69.22
370 0.8393 71.88 0.3720 72.66
380 0.6919 75.00 0.4938 78.08
390 0.7348 75.00 0.2887 76.70
400 0.5507 87.50 0.2832 79.54
410 1.0540 59.38 0.4999 73.54
420 0.7946 71.88 0.3472 69.92
430 0.9481 68.75 0.4864 72.82
440 0.6182 87.50 0.3120 73.22
450 0.9710 65.62 0.3816 75.57
460 1.0217 56.25 0.6222 74.37
470 0.8083 78.12 0.4416 73.40
480 0.8990 62.50 0.5384 74.31
490 0.3975 84.38 0.3077 78.53
500 0.6940 68.75 0.4129 76.91
510 0.5881 84.38 0.1896 81.21
520 0.8592 68.75 0.5440 74.50
530 0.8094 68.75 0.3195 73.54
540 0.4652 90.62 0.3739 76.64
550 0.5525 75.00 0.3540 79.64
560 0.8020 71.88 0.3345 79.22
570 0.6638 75.00 0.4458 79.96
580 0.5838 84.38 0.2715 79.21
590 0.2755 93.75 0.2432 79.37
600 0.6698 75.00 0.4233 75.46
610 0.6493 78.12 0.4013 73.39
620 0.6616 75.00 0.3619 78.06
630 0.7633 84.38 0.3339 78.80
640 0.8567 71.88 0.3267 77.54
650 0.6302 75.00 0.2401 76.16
660 0.5805 81.25 0.3562 77.43
670 0.9657 62.50 0.5603 78.15
680 0.5332 87.50 0.3121 78.93
690 0.6608 78.12 0.3802 78.16
700 0.8565 75.00 0.2808 75.48
710 0.8878 78.12 0.5739 74.52
720 0.6347 75.00 0.4891 79.19
730 0.5446 81.25 0.2984 78.31
740 0.7052 75.00 0.2576 77.69
750 0.5952 81.25 0.2879 77.47
760 0.5588 78.12 0.3432 80.57
770 0.4723 81.25 0.2018 77.39
780 0.6004 81.25 0.3058 76.69
790 0.6366 75.00 0.3195 76.61
800 0.3874 84.38 0.2644 80.06
810 0.3784 90.62 0.2476 75.64
820 0.5724 78.12 0.3484 78.92
830 0.7358 78.12 0.3538 77.90
840 0.6461 78.12 0.3191 75.50
850 0.5903 78.12 0.1984 77.88
860 0.7084 81.25 0.5201 79.08
870 0.7480 71.88 0.3735 79.15
880 0.3225 81.25 0.3701 80.87
890 0.5434 87.50 0.3466 75.08
900 0.8686 68.75 0.4370 79.84
910 0.8379 65.62 0.4857 79.85
920 0.7832 78.12 0.4292 78.22
930 0.9974 78.12 0.3914 78.27
940 0.6381 75.00 0.3919 76.66
950 0.6870 81.25 0.3189 81.90
960 1.0017 68.75 0.3031 75.30
970 0.5525 75.00 0.3474 78.51
980 0.3974 87.50 0.2720 79.80
990 0.5970 81.25 0.2532 76.55
1000 0.6839 81.25 0.4192 75.15
1010 0.3066 87.50 0.3235 83.20
1020 0.5161 81.25 0.3903 81.14
1030 0.7580 71.88 0.4266 80.15
1040 0.8254 68.75 0.4184 77.18
1050 0.3417 87.50 0.2138 80.06
1060 0.8846 68.75 0.4489 80.33
1070 0.5294 84.38 0.2074 80.55
1080 0.4868 81.25 0.2174 79.27
1090 0.8635 71.88 0.3453 74.91
1100 0.6275 78.12 0.3504 74.55
1110 0.5930 78.12 0.2745 74.95
1120 0.8922 68.75 0.3456 72.20
1130 0.6619 78.12 0.2593 77.95
1140 0.5421 78.12 0.3849 82.11
1150 0.5722 84.38 0.2420 80.08
1160 0.7214 75.00 0.3368 79.94
1170 0.5600 84.38 0.2788 80.07
1180 0.5750 81.25 0.2548 78.06
1190 0.9345 59.38 0.4530 77.68
1200 0.9287 71.88 0.3606 75.36
1210 0.3846 90.62 0.2741 76.76
1220 0.6165 78.12 0.2774 77.11
1230 0.5995 81.25 0.4660 82.33
1240 0.6259 78.12 0.1863 78.67
1250 0.5918 78.12 0.1559 79.52
1260 0.5331 87.50 0.3269 77.08
1270 0.6758 71.88 0.3002 76.42
1280 0.6608 75.00 0.4672 75.77
1290 0.8616 68.75 0.2372 74.56
1300 0.7447 78.12 0.1580 75.31
1310 0.6279 75.00 0.2238 76.59
1320 0.9139 68.75 0.3526 77.56
1330 0.6963 81.25 0.1965 78.70
1340 0.9355 65.62 0.5392 80.37
1350 0.6477 75.00 0.1988 80.33
1360 0.3592 84.38 0.3976 84.45
1370 0.8586 68.75 0.5558 77.91
1380 0.6171 75.00 0.2205 74.14
1390 0.4852 81.25 0.2401 79.53
1400 0.8355 68.75 0.2799 69.90
1410 0.2979 93.75 0.2608 78.97
1420 0.4445 84.38 0.2916 79.04
1430 0.8235 78.12 0.4910 78.26
1440 0.6253 81.25 0.1585 79.59
1450 0.6132 75.00 0.3329 79.32
1460 0.6094 81.25 0.4086 83.50
1470 1.0666 68.75 0.5457 80.62
1480 0.7860 68.75 0.3880 80.43
1490 0.5051 78.12 0.3581 79.51
1500 0.3007 90.62 0.2641 83.20
1510 0.5861 78.12 0.3282 79.41
1520 0.5833 78.12 0.3477 77.88
1530 0.4654 84.38 0.2912 80.61
1540 0.4902 81.25 0.2084 81.61
1550 0.7431 71.88 0.2876 77.36
1560 0.6204 84.38 0.2830 76.54
1570 0.4630 90.62 0.3126 82.79
1580 0.3046 90.62 0.1141 83.75
1590 0.2643 90.62 0.3213 81.53
1600 0.3906 84.38 0.1584 82.00
1610 0.4953 81.25 0.3313 79.11
1620 0.4911 84.38 0.2915 76.07
1630 0.9991 62.50 0.5505 77.43
1640 0.6159 75.00 0.3427 83.70
1650 0.4573 81.25 0.1098 79.81
1660 0.4402 81.25 0.1910 81.62
1670 0.9035 71.88 0.3935 79.91
1680 0.2817 93.75 0.2559 79.78
1690 0.7827 71.88 0.3446 74.50
1700 0.5868 81.25 0.1566 79.46
1710 0.4517 87.50 0.1822 79.80
1720 0.6085 75.00 0.3896 77.84
1730 0.5143 87.50 0.2521 75.44
1740 0.7016 78.12 0.5349 77.05
1750 0.6403 78.12 0.3201 78.75
1760 0.1827 90.62 0.2157 88.85
1770 0.4061 90.62 0.2520 85.04
1780 0.3449 90.62 0.2314 85.76
1790 0.5797 78.12 0.3575 80.84
1800 0.6355 84.38 0.3408 81.47
1810 0.5757 81.25 0.2368 80.52
1820 0.5648 81.25 0.2067 79.59
1830 0.4619 84.38 0.2416 79.21
1840 0.2930 90.62 0.2391 81.12
1850 0.8191 65.62 0.5555 81.75
1860 0.6154 78.12 0.2392 78.36
1870 0.7965 75.00 0.2457 73.80
