batch class_loss class_acc conf_loss conf
0 0.4066 87.50 0.1613 80.97
10 0.3424 87.50 0.1169 83.07
20 0.3992 87.50 0.2291 83.81
30 0.5917 71.88 0.2962 75.79
40 0.5697 75.00 0.2351 79.31
50 0.2990 90.62 0.2212 83.93
60 0.4981 81.25 0.2452 79.29
70 0.8109 81.25 0.4424 79.94
80 0.6019 78.12 0.1940 78.43
90 0.7077 81.25 0.3535 78.04
100 0.5723 78.12 0.2395 81.18
110 0.5906 87.50 0.2838 82.32
120 0.2743 90.62 0.1769 88.81
130 0.4268 87.50 0.3509 80.14
140 0.1854 96.88 0.1695 86.04
150 0.5723 81.25 0.1999 78.21
160 0.5437 84.38 0.3068 80.82
170 0.3616 87.50 0.1430 83.71
180 0.4033 87.50 0.2199 83.40
190 0.4116 87.50 0.2243 83.82
200 0.7060 71.88 0.3820 81.27
210 0.4628 84.38 0.2989 84.72
220 0.3512 87.50 0.3298 83.74
230 0.2596 90.62 0.1370 86.24
240 0.7451 75.00 0.4471 79.69
250 0.3980 87.50 0.1971 79.52
260 0.2580 87.50 0.2529 88.06
270 0.7245 78.12 0.3011 77.86
280 0.3631 90.62 0.2865 82.02
290 0.8945 71.88 0.3922 78.60
300 0.4659 84.38 0.2444 81.66
310 0.4594 87.50 0.2507 84.12
320 0.5937 84.38 0.2853 79.16
330 0.7950 75.00 0.2600 79.10
340 0.6063 78.12 0.2916 79.49
350 0.5452 75.00 0.1853 78.49
360 0.4799 90.62 0.2914 83.55
370 0.6380 78.12 0.2213 80.33
380 0.5104 78.12 0.2611 82.95
390 0.6601 78.12 0.2538 82.81
400 0.6287 84.38 0.3068 87.09
410 0.2159 96.88 0.2238 85.05
420 0.5980 81.25 0.2432 83.14
430 0.3262 90.62 0.1876 82.04
440 0.4368 87.50 0.3088 82.23
450 0.5352 81.25 0.3048 81.05
460 0.3160 87.50 0.2006 86.20
470 0.3485 87.50 0.2971 84.06
480 0.3661 87.50 0.1854 84.72
490 0.6628 78.12 0.3668 78.85
500 0.4981 84.38 0.2570 83.35
510 0.5919 84.38 0.3504 83.65
520 0.6127 78.12 0.3248 82.40
530 0.4962 81.25 0.3547 78.11
540 0.7946 71.88 0.3989 75.52
550 0.7811 75.00 0.3339 79.93
560 1.1012 59.38 0.4618 79.23
570 0.8791 75.00 0.3417 74.87
580 0.3075 96.88 0.3345 85.17
590 0.5450 78.12 0.2538 82.00
600 0.4778 87.50 0.2635 80.96
610 0.7565 71.88 0.3845 78.02
620 0.4430 87.50 0.3042 77.85
630 0.6006 78.12 0.2320 84.28
640 0.4071 87.50 0.2509 85.45
650 0.3948 87.50 0.2202 85.80
660 0.7695 68.75 0.3153 79.36
670 1.0816 68.75 0.5407 80.19
680 0.2693 90.62 0.1917 80.31
690 0.3204 87.50 0.1870 84.42
700 0.8248 75.00 0.4639 83.64
710 0.4152 81.25 0.1733 80.78
720 0.5542 81.25 0.2374 81.30
730 0.7462 75.00 0.3350 81.38
740 0.8608 68.75 0.4838 81.59
750 0.3140 90.62 0.2388 83.05
760 0.5093 84.38 0.2219 78.57
770 0.3481 84.38 0.2148 83.74
780 0.5073 81.25 0.2537 78.97
790 0.7428 71.88 0.2993 76.35
800 0.3296 84.38 0.2631 82.06
810 0.2698 90.62 0.1952 85.10
820 0.4716 84.38 0.2686 84.93
830 0.4742 87.50 0.1872 82.14
840 0.6827 78.12 0.2342 81.32
850 1.1336 62.50 0.5318 76.87
860 0.7036 81.25 0.2836 74.24
870 0.3730 84.38 0.3551 85.41
880 0.7328 75.00 0.2843 78.65
890 0.7734 78.12 0.3509 81.11
900 0.2233 93.75 0.2010 84.87
910 0.9963 65.62 0.3393 76.55
920 0.6590 81.25 0.3362 79.57
930 0.3626 84.38 0.1140 81.58
940 0.7302 75.00 0.2615 82.80
950 0.4921 78.12 0.2705 83.60
960 0.3367 93.75 0.1269 86.70
970 0.6763 78.12 0.3883 79.41
980 0.2854 90.62 0.2254 85.29
990 0.5641 75.00 0.1654 78.87
1000 0.6504 81.25 0.1950 76.59
1010 0.5747 87.50 0.4201 80.66
1020 0.3889 84.38 0.2601 80.10
1030 0.4959 84.38 0.1683 82.66
1040 0.3222 84.38 0.3266 85.33
1050 0.4042 87.50 0.1158 86.29
1060 0.2986 90.62 0.1642 83.55
1070 0.2441 87.50 0.1686 84.27
1080 0.5116 81.25 0.1826 82.28
1090 0.5536 81.25 0.3590 81.44
1100 0.3171 93.75 0.2086 84.11
1110 0.2074 93.75 0.1260 84.53
1120 0.3254 84.38 0.1461 85.21
1130 0.7560 71.88 0.3586 81.51
1140 0.7757 78.12 0.7319 82.83
1150 0.8109 78.12 0.3129 80.44
1160 0.5042 84.38 0.2746 88.18
1170 0.2893 90.62 0.2341 85.75
1180 0.3080 90.62 0.2999 85.50
1190 0.4038 84.38 0.3329 83.22
1200 0.4301 81.25 0.3057 84.15
1210 0.3778 87.50 0.1706 80.58
1220 0.8314 71.88 0.3102 78.86
1230 0.5602 78.12 0.3456 80.44
1240 0.5608 84.38 0.2217 79.04
1250 0.6529 78.12 0.3019 83.10
1260 0.5647 78.12 0.2555 82.53
1270 0.5031 78.12 0.2406 82.07
1280 0.5952 75.00 0.2591 82.37
1290 0.5221 84.38 0.2720 79.30
1300 0.4614 81.25 0.2200 80.93
1310 1.0088 71.88 0.4155 76.18
1320 0.6961 71.88 0.2182 80.22
1330 0.4580 81.25 0.1967 83.89
1340 0.3581 90.62 0.1575 82.83
1350 0.9230 71.88 0.2223 79.70
1360 0.4762 81.25 0.2096 81.15
1370 0.7294 75.00 0.2496 79.53
1380 0.4164 87.50 0.3935 84.09
1390 0.5681 78.12 0.3095 79.82
1400 0.5962 78.12 0.1856 77.05
1410 0.4469 84.38 0.2013 81.88
1420 0.5511 78.12 0.2444 80.93
1430 0.6240 81.25 0.2828 79.08
1440 0.8820 65.62 0.3087 76.99
1450 0.5983 78.12 0.3214 80.44
1460 0.6598 78.12 0.5353 81.11
1470 0.4336 81.25 0.2736 85.91
1480 0.5009 78.12 0.2601 85.04
1490 0.4366 81.25 0.1344 82.27
1500 0.3767 87.50 0.1442 83.83
1510 0.5145 84.38 0.2382 79.22
1520 0.9978 68.75 0.2362 75.36
1530 0.4628 84.38 0.2085 80.09
1540 0.3604 90.62 0.2677 82.62
1550 0.2876 93.75 0.1852 83.19
1560 0.4843 75.00 0.2856 82.33
1570 0.7248 75.00 0.2657 84.61
1580 0.5442 87.50 0.2248 81.83
1590 0.5275 87.50 0.2346 82.35
1600 0.3915 87.50 0.1811 83.72
1610 0.6400 78.12 0.3141 81.13
1620 0.2638 90.62 0.1283 84.32
1630 0.5910 81.25 0.3102 81.53
1640 0.5280 78.12 0.4105 82.91
1650 0.6713 78.12 0.2300 75.63
1660 1.0331 68.75 0.5310 76.30
1670 0.4234 81.25 0.2031 80.60
1680 0.6178 75.00 0.3423 75.12
1690 0.6442 84.38 0.4199 74.84
1700 0.5988 78.12 0.2704 80.09
1710 0.4809 81.25 0.2887 83.85
1720 0.3638 84.38 0.2049 87.34
1730 0.6486 78.12 0.3732 77.82
1740 0.7600 71.88 0.3077 80.30
1750 0.3027 87.50 0.0970 84.82
1760 0.4613 81.25 0.1790 80.30
1770 0.8478 68.75 0.2982 77.26
1780 0.3972 87.50 0.2227 83.65
1790 0.4956 84.38 0.3328 85.33
1800 0.7642 75.00 0.3586 82.22
1810 0.5125 84.38 0.1966 85.49
1820 0.4516 78.12 0.4626 86.43
1830 0.4915 81.25 0.2095 81.96
1840 0.4213 84.38 0.1974 84.38
1850 0.4523 84.38 0.2603 82.77
1860 0.4879 84.38 0.2180 82.99
1870 0.4027 87.50 0.2053 83.97
