batch class_loss class_acc conf_loss conf
0 0.7160 75.00 0.3785 75.74
10 0.5617 84.38 0.3940 80.95
20 0.7203 68.75 0.4131 75.98
30 0.5841 81.25 0.2495 78.92
40 0.5855 78.12 0.3962 85.26
50 0.6740 75.00 0.4965 79.16
60 0.3390 90.62 0.1777 80.59
70 0.3286 87.50 0.2178 80.76
80 0.3989 84.38 0.1821 83.46
90 0.4534 90.62 0.2699 84.88
100 0.2471 93.75 0.1491 83.96
110 0.5496 75.00 0.2297 81.91
120 0.7373 78.12 0.3207 84.04
130 0.4032 84.38 0.1245 81.80
140 0.6262 78.12 0.2130 79.97
150 0.8785 68.75 0.3639 75.84
160 0.6626 78.12 0.3285 76.14
170 0.3698 84.38 0.2341 81.20
180 0.5527 78.12 0.2528 78.65
190 0.4824 84.38 0.1847 80.48
200 0.8225 75.00 0.3781 75.54
210 0.4721 84.38 0.3433 78.97
220 0.5105 78.12 0.3643 76.31
230 0.8107 75.00 0.4939 79.01
240 0.5556 81.25 0.3161 78.53
250 0.5486 75.00 0.3703 80.07
260 0.2164 93.75 0.2163 84.24
270 0.4563 87.50 0.2341 78.05
280 0.3862 90.62 0.3928 80.78
290 0.2925 90.62 0.2915 84.20
300 0.4840 84.38 0.3076 81.26
310 0.6955 75.00 0.5252 79.62
320 0.7338 68.75 0.3862 80.97
330 0.5212 87.50 0.3683 80.10
340 0.6147 75.00 0.2884 79.48
350 0.6138 78.12 0.2990 79.39
360 0.4700 81.25 0.4497 80.01
370 0.6196 84.38 0.2903 84.88
380 0.3462 87.50 0.1957 81.04
390 0.6405 75.00 0.2961 78.96
400 0.4821 78.12 0.2475 80.67
410 0.6234 78.12 0.4784 81.93
420 0.5337 81.25 0.2000 81.97
430 0.5866 78.12 0.2816 82.00
440 0.4970 84.38 0.2994 79.46
450 1.1303 65.62 0.4854 75.53
460 0.3050 90.62 0.2166 83.67
470 0.6183 75.00 0.2329 78.93
480 0.4617 84.38 0.1655 79.96
490 0.7167 71.88 0.2425 73.57
500 0.8395 68.75 0.4171 75.49
510 0.5204 81.25 0.2609 81.68
520 0.5961 90.62 0.2830 81.60
530 0.6744 71.88 0.3285 78.90
540 0.6427 75.00 0.3649 80.17
550 0.7775 71.88 0.3303 80.51
560 0.7022 78.12 0.2276 80.63
570 0.6135 78.12 0.1798 75.19
580 0.3401 84.38 0.2506 81.76
590 0.4157 84.38 0.1656 79.82
600 0.4063 90.62 0.3271 85.64
610 0.6563 75.00 0.2312 79.54
620 0.6387 84.38 0.2896 80.75
630 0.4021 87.50 0.2021 83.45
640 0.6997 78.12 0.2324 83.74
650 0.5383 84.38 0.2282 80.06
660 0.3020 90.62 0.2228 84.72
670 0.6790 75.00 0.2411 78.69
680 0.6982 78.12 0.3715 76.27
690 0.4168 87.50 0.2214 78.83
700 0.7664 68.75 0.2682 74.01
710 0.8738 68.75 0.5265 77.07
720 0.6524 75.00 0.2624 76.81
730 0.5717 75.00 0.2811 76.57
740 0.5098 84.38 0.3207 78.60
750 0.7316 71.88 0.3773 84.03
760 0.4663 84.38 0.2945 81.14
770 0.8010 68.75 0.5669 76.33
780 0.4832 84.38 0.2973 79.02
790 0.3936 87.50 0.1241 81.08
800 0.6283 78.12 0.4984 81.23
810 0.7739 75.00 0.4085 79.82
820 0.4553 87.50 0.2345 83.71
830 0.3550 90.62 0.1922 80.43
840 0.4902 84.38 0.2878 81.47
850 0.4796 87.50 0.2273 84.89
860 0.5068 87.50 0.2862 88.73
870 0.5301 84.38 0.2547 80.04
880 0.4955 87.50 0.2726 78.89
890 0.4157 87.50 0.1379 82.74
900 0.5093 81.25 0.1924 81.67
910 0.4556 84.38 0.2585 83.81
920 0.8841 71.88 0.3071 79.08
930 0.5099 81.25 0.2513 79.47
940 0.5122 84.38 0.3079 80.97
950 0.5557 81.25 0.1161 80.67
960 0.5803 78.12 0.2424 79.82
970 0.4854 84.38 0.2264 83.30
980 0.4154 81.25 0.2208 81.97
990 0.4211 84.38 0.1759 83.89
1000 0.5754 75.00 0.2675 83.77
1010 0.7051 71.88 0.3698 79.92
1020 0.5754 84.38 0.2874 79.86
1030 0.6678 75.00 0.3238 82.94
1040 0.3335 93.75 0.3038 81.81
1050 0.4325 81.25 0.2901 81.78
1060 0.1692 96.88 0.2695 82.49
1070 0.2629 90.62 0.1011 85.93
1080 0.6200 81.25 0.2523 78.12
1090 0.5116 84.38 0.2462 82.19
1100 0.5204 78.12 0.1679 79.59
1110 0.4295 87.50 0.2840 83.79
1120 0.5033 81.25 0.1747 81.40
1130 0.5237 78.12 0.2642 82.84
1140 0.8273 75.00 0.3594 79.90
1150 0.5625 78.12 0.2417 79.20
1160 0.6897 71.88 0.4677 82.64
1170 0.7213 68.75 0.4805 79.74
1180 0.9205 71.88 0.2996 75.65
1190 0.1938 96.88 0.2338 84.70
1200 0.3039 87.50 0.2414 82.40
1210 0.4846 84.38 0.1956 80.19
1220 0.4021 87.50 0.2930 82.35
1230 0.5413 78.12 0.2183 77.91
1240 0.3832 87.50 0.1884 86.33
1250 0.4412 84.38 0.2815 83.10
1260 0.4903 81.25 0.1087 79.40
1270 0.2956 87.50 0.1056 83.31
1280 0.6305 78.12 0.2763 79.49
1290 0.4642 84.38 0.3253 83.33
1300 0.4286 87.50 0.2131 84.71
1310 0.3890 87.50 0.2730 84.69
1320 0.6391 78.12 0.4621 80.92
1330 0.6210 81.25 0.3389 81.07
1340 0.4427 87.50 0.1525 81.45
1350 0.4524 84.38 0.1681 81.66
1360 0.3481 84.38 0.1856 83.02
1370 1.0585 68.75 0.3233 78.73
1380 0.7067 75.00 0.2158 77.51
1390 0.3991 87.50 0.2283 81.52
1400 0.7278 75.00 0.3669 79.36
1410 0.2339 93.75 0.2625 83.84
1420 0.6831 71.88 0.2197 79.43
1430 0.5402 81.25 0.3756 81.53
1440 0.5913 84.38 0.2916 82.88
1450 0.6172 84.38 0.2161 83.20
1460 0.4321 84.38 0.1632 82.30
1470 0.3132 90.62 0.1257 83.99
1480 0.2869 90.62 0.2184 84.39
1490 0.3945 84.38 0.2027 80.77
1500 0.8242 71.88 0.4497 80.88
1510 0.5554 78.12 0.1208 78.81
1520 0.4975 84.38 0.3105 84.56
1530 0.5472 87.50 0.3489 81.08
1540 0.5366 78.12 0.1906 80.50
1550 0.9780 59.38 0.3375 77.30
1560 0.7805 78.12 0.2909 77.30
1570 0.2927 90.62 0.2554 83.47
1580 0.4432 87.50 0.3243 79.03
1590 0.9108 75.00 0.3515 82.86
1600 0.5899 81.25 0.2082 81.93
1610 0.6058 75.00 0.3232 81.90
1620 0.5365 81.25 0.1728 85.94
1630 0.9863 65.62 0.4719 77.69
1640 0.5211 84.38 0.1880 82.46
1650 0.6130 75.00 0.2480 77.77
1660 0.4676 87.50 0.1691 82.71
1670 0.2635 90.62 0.1377 85.43
1680 0.5430 78.12 0.2541 82.62
1690 0.5254 84.38 0.2608 83.89
1700 0.6294 75.00 0.2427 81.05
1710 0.6066 75.00 0.3050 82.46
1720 0.9944 71.88 0.5047 81.74
1730 0.7026 81.25 0.3833 79.08
1740 0.4319 84.38 0.1595 81.18
1750 0.5837 81.25 0.3368 78.91
1760 0.6868 75.00 0.2497 79.18
1770 0.7287 78.12 0.2179 83.54
1780 0.6937 75.00 0.3475 82.48
1790 0.8005 75.00 0.3285 79.53
1800 0.5230 81.25 0.2192 81.84
1810 0.9300 71.88 0.4141 83.05
1820 0.4359 84.38 0.1963 80.06
1830 0.4545 84.38 0.1726 81.92
1840 0.6250 81.25 0.2035 80.33
1850 0.5234 78.12 0.3748 86.09
1860 0.4688 84.38 0.2627 77.50
1870 0.6360 75.00 0.3161 78.07
