batch class_loss class_acc conf_loss conf
0 0.6777 62.50 0.6942 49.23
10 0.7006 50.00 0.6896 52.16
20 0.6901 50.00 0.6739 51.19
30 0.7180 37.50 0.6964 52.08
40 0.6859 59.38 0.6822 52.56
50 0.6399 78.12 0.6496 54.23
60 0.7094 43.75 0.7216 57.26
70 0.6492 78.12 0.6454 54.39
80 0.6703 62.50 0.6835 54.60
90 0.6924 56.25 0.6969 52.99
100 0.6948 53.12 0.7246 52.28
110 0.7182 46.88 0.6989 53.88
120 0.6952 46.88 0.7108 54.32
130 0.6892 53.12 0.7020 54.62
140 0.7021 50.00 0.7068 53.82
150 0.7068 43.75 0.7124 54.80
160 0.6636 65.62 0.6524 55.19
170 0.6537 71.88 0.6827 54.00
180 0.7026 46.88 0.6922 51.80
190 0.6915 62.50 0.6796 51.42
200 0.7011 46.88 0.6889 52.78
210 0.6816 56.25 0.6799 55.89
220 0.7098 53.12 0.7150 56.49
230 0.7325 37.50 0.7387 54.14
240 0.6796 53.12 0.6991 50.04
250 0.6755 56.25 0.6957 51.36
260 0.7241 53.12 0.7139 52.67
270 0.6903 53.12 0.6958 52.72
280 0.7127 40.62 0.6971 52.13
290 0.7183 46.88 0.7048 50.17
300 0.6807 56.25 0.6779 50.00
310 0.6753 62.50 0.6840 51.53
