batch class_loss class_acc conf_loss conf
0 0.7154 37.50 0.7060 52.50
10 0.6944 43.75 0.6961 51.95
20 0.6723 71.88 0.6838 51.66
30 0.6994 46.88 0.7065 52.57
40 0.7230 31.25 0.7283 53.77
50 0.6541 56.25 0.6780 53.37
60 0.7313 43.75 0.7259 54.96
70 0.7030 53.12 0.7009 55.76
80 0.6925 53.12 0.6914 55.32
90 0.6790 53.12 0.6981 54.29
100 0.6787 53.12 0.6629 53.23
110 0.7289 50.00 0.7172 53.14
120 0.6730 56.25 0.6820 52.70
130 0.6874 71.88 0.6743 53.01
140 0.6838 56.25 0.6791 54.09
150 0.6913 46.88 0.6832 53.23
160 0.6535 68.75 0.6559 53.89
170 0.6895 53.12 0.6944 54.97
180 0.6685 50.00 0.6840 55.81
190 0.7558 28.12 0.7461 55.60
200 0.6346 65.62 0.6611 53.96
210 0.7048 56.25 0.6974 52.80
220 0.6636 53.12 0.6785 53.17
230 0.6688 62.50 0.6804 52.99
240 0.6793 68.75 0.6630 53.48
250 0.6911 56.25 0.7037 53.22
260 0.6546 62.50 0.6823 52.54
270 0.6909 62.50 0.6867 52.36
280 0.7263 40.62 0.7074 52.67
290 0.6858 65.62 0.6792 52.92
300 0.7091 46.88 0.7069 54.84
310 0.7004 62.50 0.6769 54.13
