batch class_loss class_acc conf_loss conf
0 0.3933 84.38 0.5071 97.38
10 0.1389 93.75 0.1585 96.83
20 0.1813 93.75 0.2684 97.34
30 0.0908 96.88 0.1142 97.18
40 0.0864 93.75 0.1509 97.32
50 0.1292 93.75 0.2199 96.24
60 0.0437 100.00 0.0355 96.71
70 0.0819 93.75 0.1410 96.30
80 0.0188 100.00 0.0212 97.93
90 0.1668 90.62 0.2528 96.60
100 0.0250 100.00 0.0229 97.77
110 0.0572 96.88 0.0550 96.84
120 0.0330 100.00 0.0355 96.68
130 0.0582 100.00 0.0299 97.14
140 0.0146 100.00 0.0219 97.86
150 0.0548 96.88 0.0683 97.27
160 0.1653 96.88 0.1227 97.79
170 0.0335 100.00 0.0256 97.53
180 0.0164 100.00 0.0260 97.50
190 0.1941 93.75 0.2078 96.06
200 0.1042 93.75 0.2000 96.70
210 0.0775 96.88 0.0694 96.87
220 0.0341 100.00 0.0330 96.82
230 0.0188 100.00 0.0335 96.86
240 0.0146 100.00 0.0542 95.07
250 0.1435 93.75 0.1142 94.52
260 0.0420 100.00 0.0449 95.79
270 0.1723 93.75 0.1795 96.46
280 0.0957 96.88 0.1362 96.09
290 0.0397 100.00 0.0311 97.05
300 0.1859 96.88 0.1075 97.69
310 0.0457 96.88 0.1199 96.42
320 0.0048 100.00 0.0221 97.86
330 0.1161 96.88 0.0877 97.90
340 0.1464 96.88 0.1819 98.13
350 0.0352 96.88 0.1634 97.80
360 0.1589 93.75 0.2353 96.25
370 0.0139 100.00 0.0398 96.35
380 0.1484 96.88 0.1457 96.45
390 0.1166 96.88 0.0905 96.97
400 0.2568 93.75 0.2337 96.69
410 0.0321 100.00 0.0233 97.73
420 0.0089 100.00 0.0318 97.01
430 0.0520 96.88 0.1289 98.14
440 0.0051 100.00 0.0229 97.80
450 0.0379 100.00 0.0259 97.49
460 0.0831 96.88 0.1341 96.81
470 0.0032 100.00 0.0305 97.05
480 0.0295 100.00 0.0391 96.35
490 0.1966 93.75 0.1544 97.20
