batch class_loss class_acc conf_loss conf
0 0.7105 56.25 0.7002 55.25
10 0.6884 59.38 0.7048 51.46
20 0.7445 46.88 0.6886 53.73
30 0.7225 46.88 0.7149 52.18
40 0.7065 50.00 0.6639 48.08
50 0.7007 56.25 0.6793 46.51
60 0.7192 46.88 0.6736 49.32
70 0.6767 68.75 0.6773 52.92
80 0.6955 62.50 0.6973 53.83
90 0.7231 43.75 0.6498 52.45
100 0.6955 50.00 0.7021 47.05
110 0.6816 53.12 0.7149 48.71
120 0.7241 50.00 0.6907 54.66
130 0.6641 62.50 0.6814 49.85
140 0.6901 59.38 0.7295 45.95
150 0.6797 56.25 0.6941 48.21
160 0.6895 50.00 0.6982 51.66
170 0.6938 56.25 0.6975 53.53
180 0.6738 71.88 0.7082 49.15
190 0.6945 53.12 0.6879 47.92
200 0.6908 53.12 0.6810 51.12
210 0.6971 46.88 0.7152 53.31
220 0.7017 43.75 0.7116 49.01
230 0.6993 46.88 0.7088 45.67
240 0.7070 50.00 0.7149 47.45
250 0.6770 68.75 0.7137 49.91
260 0.6904 56.25 0.6845 49.76
270 0.6935 46.88 0.6818 50.19
280 0.6871 59.38 0.6932 48.33
290 0.7001 50.00 0.7034 50.78
300 0.6909 50.00 0.7001 52.27
310 0.6997 46.88 0.7043 50.64
