batch class_loss class_acc conf_loss conf
0 0.6552 62.50 0.6873 52.05
10 0.6334 71.88 0.6484 53.78
20 0.7005 56.25 0.6888 55.34
30 0.7339 34.38 0.7257 55.74
40 0.6663 59.38 0.6756 52.49
50 0.7145 43.75 0.7183 53.31
60 0.6947 56.25 0.6796 54.13
70 0.6788 59.38 0.6782 54.99
80 0.7066 43.75 0.7042 57.39
90 0.7187 43.75 0.7447 57.21
100 0.7132 43.75 0.7485 58.16
110 0.7266 43.75 0.7394 57.86
120 0.6662 59.38 0.6668 55.99
130 0.6802 53.12 0.6897 54.49
140 0.6746 53.12 0.6866 53.66
150 0.6652 71.88 0.6594 52.71
160 0.6936 56.25 0.6852 54.10
170 0.7166 40.62 0.7333 54.40
180 0.7229 34.38 0.7222 54.13
190 0.7284 25.00 0.7241 53.26
200 0.6935 50.00 0.6938 51.84
210 0.6686 56.25 0.6686 53.55
220 0.6975 50.00 0.7003 54.45
230 0.6914 50.00 0.6931 54.82
240 0.6928 56.25 0.6828 54.51
250 0.7013 56.25 0.6793 55.36
260 0.6665 62.50 0.6808 55.45
270 0.6683 65.62 0.6737 54.46
280 0.6867 56.25 0.6960 54.27
290 0.6937 59.38 0.6976 53.78
300 0.6744 59.38 0.6697 54.25
310 0.7064 53.12 0.6970 55.45
