batch class_loss class_acc conf_loss conf
0 0.6801 53.12 0.6894 46.96
10 0.6734 59.38 0.6978 49.47
20 0.7093 43.75 0.7191 53.22
30 0.7044 43.75 0.7097 53.89
40 0.7079 46.88 0.7019 52.00
50 0.6826 56.25 0.7114 50.09
60 0.7132 40.62 0.6948 51.83
70 0.6850 50.00 0.6829 50.76
80 0.6803 50.00 0.7001 52.05
90 0.6876 50.00 0.6951 52.88
100 0.6915 56.25 0.7117 50.22
110 0.6745 62.50 0.7016 47.83
120 0.6867 46.88 0.6910 47.39
130 0.7353 37.50 0.6788 49.44
140 0.6944 56.25 0.6896 50.82
150 0.6972 53.12 0.6835 52.80
160 0.7310 34.38 0.7183 53.82
170 0.7126 40.62 0.7126 52.29
180 0.7045 28.12 0.7009 50.51
190 0.6858 50.00 0.6938 47.80
200 0.6994 53.12 0.7025 49.39
210 0.6854 59.38 0.6859 50.56
220 0.6768 59.38 0.6894 50.37
230 0.6831 59.38 0.7090 50.20
240 0.6945 50.00 0.7081 51.07
250 0.6893 53.12 0.6905 51.38
260 0.7157 43.75 0.7033 51.37
270 0.7154 37.50 0.7064 50.61
280 0.6812 62.50 0.6796 51.60
290 0.6873 53.12 0.7030 51.98
300 0.6886 53.12 0.6907 50.80
310 0.6851 59.38 0.6930 49.36
