batch class_loss class_acc conf_loss conf
0 0.6550 65.62 0.6752 53.23
10 0.6656 59.38 0.6808 55.23
20 0.6809 53.12 0.6846 55.07
30 0.6611 65.62 0.6583 54.46
40 0.6515 62.50 0.6619 55.07
50 0.6960 56.25 0.6989 55.32
60 0.7231 46.88 0.6929 53.83
70 0.7400 40.62 0.7154 53.17
80 0.6776 59.38 0.6805 51.96
90 0.6640 65.62 0.6672 53.42
100 0.6928 56.25 0.6753 54.24
110 0.6673 56.25 0.6762 54.21
120 0.6892 56.25 0.6764 53.53
130 0.6663 59.38 0.6689 53.82
140 0.6636 65.62 0.6595 54.29
150 0.6810 46.88 0.6983 54.27
160 0.6650 65.62 0.6659 53.46
170 0.6942 53.12 0.6915 54.02
180 0.7021 50.00 0.6941 51.99
190 0.6951 43.75 0.6931 50.91
200 0.7037 46.88 0.7043 51.08
210 0.7062 43.75 0.6958 52.24
220 0.6968 59.38 0.6911 55.45
230 0.6803 46.88 0.6959 56.01
240 0.6579 59.38 0.6612 56.02
250 0.6589 65.62 0.6491 57.61
260 0.7129 43.75 0.7198 58.30
270 0.7100 43.75 0.7460 56.12
280 0.7022 40.62 0.6940 52.44
290 0.7269 43.75 0.6916 49.96
300 0.6622 59.38 0.6833 50.07
310 0.6861 50.00 0.6835 52.17
