batch class_loss class_acc conf_loss conf
0 0.6865 46.88 0.6898 50.08
10 0.6907 59.38 0.6953 50.87
20 0.6914 50.00 0.6944 55.50
30 0.6934 50.00 0.7196 58.33
40 0.7302 43.75 0.7351 58.93
50 0.6696 56.25 0.6752 55.56
60 0.6760 56.25 0.6787 54.95
70 0.6573 62.50 0.6721 52.58
80 0.6543 59.38 0.6584 53.26
90 0.6948 50.00 0.7016 53.41
100 0.7072 50.00 0.7153 52.43
110 0.7016 43.75 0.6842 51.27
120 0.7111 40.62 0.6969 52.32
130 0.6587 56.25 0.6885 54.22
140 0.7254 43.75 0.7212 54.27
150 0.6894 59.38 0.6870 53.33
160 0.6757 50.00 0.6861 52.79
170 0.7015 50.00 0.6976 53.66
180 0.7412 46.88 0.7235 52.05
190 0.6692 62.50 0.6895 49.34
200 0.6607 62.50 0.6867 52.21
210 0.6769 59.38 0.6678 55.04
220 0.7059 53.12 0.6878 55.24
230 0.6848 53.12 0.6893 51.75
240 0.6996 40.62 0.6945 48.92
250 0.7038 46.88 0.6886 47.91
260 0.6558 65.62 0.6974 48.76
270 0.6897 50.00 0.6946 49.44
280 0.6953 46.88 0.6861 49.55
290 0.6971 43.75 0.6942 50.30
300 0.6882 50.00 0.6894 51.89
310 0.7190 50.00 0.6914 52.08
