batch class_loss class_acc conf_loss conf
0 0.7037 56.25 0.6924 52.52
10 0.7013 46.88 0.6832 51.32
20 0.6804 56.25 0.6800 51.61
30 0.6979 56.25 0.7201 52.29
40 0.7168 43.75 0.7166 53.42
50 0.6955 53.12 0.6905 53.18
60 0.6872 56.25 0.6882 52.31
70 0.7007 43.75 0.6856 51.50
80 0.6774 53.12 0.7050 50.51
90 0.7317 43.75 0.7073 51.52
100 0.6945 59.38 0.7081 51.75
110 0.7100 43.75 0.6874 50.84
120 0.7011 43.75 0.6902 48.88
130 0.6984 50.00 0.6743 47.93
140 0.7006 56.25 0.7005 50.53
150 0.6777 62.50 0.6972 53.40
160 0.7050 43.75 0.7092 54.56
170 0.7073 40.62 0.6962 52.32
180 0.6957 53.12 0.7164 48.94
190 0.6865 62.50 0.7000 48.39
200 0.6896 46.88 0.6789 49.11
210 0.7044 46.88 0.6873 49.49
220 0.6957 46.88 0.7053 50.57
230 0.6953 50.00 0.6951 51.57
240 0.7063 43.75 0.7048 52.28
250 0.6979 40.62 0.6945 51.03
260 0.6695 59.38 0.6855 50.34
270 0.7164 31.25 0.6939 50.59
280 0.6830 56.25 0.6896 51.23
290 0.6686 75.00 0.6984 49.57
300 0.7022 43.75 0.6932 50.53
310 0.6836 50.00 0.6898 51.11
