batch class_loss class_acc conf_loss conf
0 0.6931 56.25 0.6942 48.59
10 0.6826 62.50 0.6861 52.79
20 0.6850 59.38 0.7042 51.00
30 0.6901 59.38 0.6991 49.34
40 0.6825 56.25 0.6885 48.39
50 0.7031 50.00 0.6896 50.92
60 0.6668 65.62 0.6815 51.96
70 0.6819 56.25 0.6900 52.68
80 0.6849 56.25 0.6908 50.44
90 0.6783 56.25 0.7088 47.64
100 0.7037 40.62 0.6803 49.39
110 0.6863 56.25 0.6869 49.64
120 0.7344 37.50 0.7094 49.74
130 0.7028 43.75 0.6965 49.66
140 0.6903 53.12 0.7041 48.68
150 0.6865 50.00 0.6886 48.02
160 0.7216 46.88 0.7134 50.80
170 0.7067 46.88 0.6811 50.11
180 0.6996 50.00 0.7239 49.32
190 0.6948 46.88 0.6956 48.27
200 0.6961 46.88 0.7082 50.08
210 0.6873 56.25 0.6809 51.49
220 0.6899 34.38 0.6788 50.12
230 0.6978 43.75 0.6982 50.46
240 0.6716 59.38 0.7072 53.87
250 0.6687 53.12 0.6776 55.19
260 0.6457 68.75 0.6653 53.90
270 0.7103 50.00 0.7089 51.08
280 0.7027 56.25 0.7106 47.14
290 0.7151 37.50 0.6857 48.59
300 0.7128 43.75 0.7061 47.86
310 0.6824 53.12 0.7113 48.21
