batch class_loss class_acc conf_loss conf
0 0.7019 50.00 0.7088 53.47
10 0.6819 53.12 0.6947 56.89
20 0.7030 46.88 0.7554 58.31
30 0.7002 56.25 0.7087 54.43
40 0.6794 56.25 0.6880 53.09
50 0.6639 56.25 0.6796 52.36
60 0.7026 56.25 0.7056 53.63
70 0.6838 53.12 0.6855 52.73
80 0.7225 46.88 0.7061 51.95
90 0.7055 37.50 0.7074 51.55
100 0.7067 46.88 0.6843 49.67
110 0.7043 43.75 0.7103 52.16
120 0.6904 46.88 0.6948 53.72
130 0.7133 50.00 0.6966 54.51
140 0.6926 50.00 0.6932 54.87
150 0.6930 53.12 0.6897 54.85
160 0.6964 46.88 0.7011 55.22
170 0.7137 50.00 0.6833 53.39
180 0.7365 34.38 0.7429 53.58
190 0.6510 65.62 0.6471 54.92
200 0.7018 50.00 0.6991 55.41
210 0.6820 53.12 0.6851 53.90
220 0.6888 53.12 0.6830 53.63
230 0.7029 53.12 0.7006 53.88
240 0.6844 40.62 0.6968 54.33
250 0.7218 37.50 0.7589 55.95
260 0.6861 59.38 0.6900 55.16
270 0.6725 56.25 0.6748 53.23
280 0.6824 59.38 0.6995 51.08
290 0.6637 65.62 0.6967 48.99
300 0.6818 50.00 0.7021 50.21
310 0.7044 46.88 0.6953 49.83
