batch class_loss class_acc conf_loss conf
0 0.6849 53.12 0.6821 51.97
10 0.7010 34.38 0.6970 52.39
20 0.6807 40.62 0.6769 52.39
30 0.6916 50.00 0.7046 50.57
40 0.6462 71.88 0.6916 50.22
50 0.7158 50.00 0.6839 52.71
60 0.6905 59.38 0.6757 53.78
70 0.6738 56.25 0.6754 55.56
80 0.6504 71.88 0.6660 54.87
90 0.7479 28.12 0.7305 55.12
100 0.6852 53.12 0.6887 53.14
110 0.7004 46.88 0.7010 51.95
120 0.6868 56.25 0.6914 53.27
130 0.6648 59.38 0.6690 54.15
140 0.6504 62.50 0.6694 54.32
150 0.6956 43.75 0.6840 54.86
160 0.6483 59.38 0.6620 56.06
170 0.7469 43.75 0.7120 54.41
180 0.7195 31.25 0.6905 51.67
190 0.6967 50.00 0.7065 51.11
200 0.7023 43.75 0.7045 51.21
210 0.6760 65.62 0.6757 50.55
220 0.6884 50.00 0.6802 50.68
230 0.7020 46.88 0.6903 51.68
240 0.6742 71.88 0.6876 52.74
250 0.6910 53.12 0.7026 54.68
260 0.6699 56.25 0.6778 55.02
270 0.7303 31.25 0.7329 54.66
280 0.7168 40.62 0.7105 52.50
290 0.6815 56.25 0.6836 51.85
300 0.6761 53.12 0.6741 52.49
310 0.6788 53.12 0.6932 52.74
