batch class_loss class_acc conf_loss conf
0 0.6893 62.50 0.6973 50.75
10 0.7087 46.88 0.7093 54.50
20 0.6833 59.38 0.6944 52.58
30 0.6752 59.38 0.7137 46.83
40 0.7096 40.62 0.6792 45.15
50 0.6861 43.75 0.6758 49.93
60 0.7537 37.50 0.7261 55.01
70 0.6724 50.00 0.7086 52.10
80 0.7008 53.12 0.6905 49.19
90 0.7003 40.62 0.7012 47.41
100 0.7402 56.25 0.7014 49.35
110 0.6892 59.38 0.7098 53.34
120 0.7103 53.12 0.6868 52.67
130 0.6972 53.12 0.6966 49.21
140 0.7169 37.50 0.6815 46.12
150 0.6847 56.25 0.7143 45.24
160 0.6844 53.12 0.6793 47.52
170 0.6910 59.38 0.7335 48.09
180 0.6792 56.25 0.7085 48.92
190 0.7160 40.62 0.6911 49.31
200 0.6923 40.62 0.6783 49.19
210 0.6944 46.88 0.6909 46.87
220 0.6950 50.00 0.6996 47.32
230 0.7091 46.88 0.7126 53.30
240 0.6951 53.12 0.6860 56.01
250 0.6979 50.00 0.6946 54.37
260 0.7041 53.12 0.6938 49.19
270 0.6839 59.38 0.7100 47.85
280 0.6912 43.75 0.6763 48.12
290 0.6780 75.00 0.7335 47.92
300 0.6649 71.88 0.6951 49.04
310 0.6860 62.50 0.6929 52.53
