batch class_loss class_acc conf_loss conf
0 0.4501 87.50 0.1412 86.08
10 0.2246 93.75 0.1418 87.37
20 0.3771 87.50 0.0855 85.29
30 0.3524 87.50 0.1562 87.30
40 0.5737 84.38 0.2019 82.67
50 0.2386 90.62 0.1015 88.34
60 0.3009 90.62 0.1208 86.79
70 0.6021 81.25 0.3149 78.08
80 0.4334 87.50 0.2370 81.63
90 0.4463 81.25 0.3320 80.57
100 0.4787 84.38 0.2388 82.69
110 0.4783 81.25 0.2163 85.18
120 0.7285 75.00 0.3068 82.18
130 0.6255 84.38 0.3577 80.88
140 0.7950 81.25 0.4094 82.38
150 0.4246 81.25 0.1896 85.46
160 0.4475 81.25 0.3314 84.48
170 0.8348 78.12 0.3977 84.46
180 0.7385 75.00 0.3073 79.70
190 0.5320 71.88 0.3273 82.97
200 1.0159 71.88 0.3138 78.00
210 0.5142 84.38 0.3497 81.19
220 0.4666 78.12 0.2931 82.13
230 0.3093 93.75 0.2171 84.53
240 0.5136 78.12 0.1939 83.29
250 0.5782 78.12 0.4502 86.11
260 0.8428 71.88 0.4101 81.43
270 0.4389 84.38 0.1702 81.88
280 0.4498 87.50 0.1899 82.24
290 0.6334 78.12 0.2789 85.18
300 0.6604 75.00 0.2802 79.68
310 0.5500 81.25 0.1439 80.58
320 0.5829 75.00 0.2625 77.06
330 0.5681 87.50 0.4114 85.35
340 0.3221 90.62 0.1253 83.65
350 0.6706 78.12 0.3921 81.40
360 0.3648 87.50 0.1923 83.58
370 0.6193 81.25 0.2504 81.38
380 0.6388 75.00 0.4223 82.33
390 0.2840 93.75 0.1731 85.09
400 0.6233 75.00 0.3658 84.19
410 0.2190 93.75 0.1706 89.84
420 0.7571 78.12 0.2897 82.70
430 0.3875 84.38 0.2298 81.78
440 0.4122 81.25 0.3250 88.82
450 0.4747 78.12 0.3685 83.15
460 0.6815 78.12 0.2657 80.51
470 0.4134 87.50 0.1620 81.10
480 0.4617 90.62 0.2599 83.62
490 0.3968 87.50 0.3019 84.25
500 0.4143 87.50 0.2219 82.02
510 0.4809 87.50 0.2676 85.24
520 0.3445 87.50 0.2468 86.56
530 0.5544 78.12 0.3227 84.38
540 0.3068 87.50 0.1692 86.47
550 0.4712 84.38 0.1978 84.96
560 0.6925 71.88 0.3085 80.12
570 0.4676 87.50 0.2027 81.12
580 0.4050 84.38 0.1262 85.31
590 0.1826 96.88 0.1786 88.50
600 0.6144 81.25 0.3933 80.93
610 0.5998 81.25 0.2238 81.95
620 0.7436 71.88 0.4037 80.63
630 0.4503 81.25 0.2282 82.05
640 0.2237 87.50 0.1654 86.67
650 0.4466 84.38 0.1313 80.03
660 0.4337 87.50 0.1748 81.52
670 0.7239 75.00 0.2447 77.64
680 0.3713 87.50 0.1366 82.08
690 0.4747 87.50 0.2764 78.94
700 0.5653 78.12 0.2227 79.25
710 0.3304 87.50 0.1975 86.81
720 0.5125 84.38 0.4761 84.77
730 0.5344 84.38 0.3020 84.88
740 0.9425 68.75 0.5805 76.11
750 0.4309 84.38 0.3247 84.64
760 0.4018 84.38 0.1295 82.87
770 0.5773 75.00 0.1973 80.95
780 0.3190 90.62 0.2265 79.80
790 0.3988 87.50 0.1606 81.86
800 0.5613 81.25 0.2403 84.26
810 0.6785 81.25 0.3207 79.13
820 0.6491 78.12 0.2629 85.69
830 0.6228 81.25 0.2179 77.00
840 0.2920 90.62 0.2556 84.64
850 0.4611 81.25 0.2173 79.10
860 0.4651 84.38 0.1428 83.67
870 0.5242 87.50 0.3617 84.14
880 0.6891 75.00 0.2317 78.18
890 0.4411 87.50 0.2020 80.60
900 0.5339 84.38 0.1330 84.72
910 0.5054 78.12 0.2887 84.79
920 0.4325 81.25 0.2324 84.22
930 0.7019 75.00 0.4765 81.71
940 0.5307 78.12 0.2520 83.16
950 0.5486 84.38 0.3805 83.12
960 0.3510 90.62 0.2179 80.76
970 0.5208 78.12 0.2517 81.20
980 0.4909 87.50 0.2267 86.10
990 0.3072 93.75 0.1849 83.40
1000 0.4833 84.38 0.2375 86.48
1010 0.7780 75.00 0.2514 80.20
1020 0.5962 78.12 0.1846 81.29
1030 0.5211 78.12 0.2179 82.63
1040 0.5726 78.12 0.2422 81.21
1050 0.4291 81.25 0.1417 81.36
1060 0.5457 75.00 0.1368 79.13
1070 0.7085 78.12 0.1487 77.02
1080 0.6300 81.25 0.2913 76.68
1090 0.1688 96.88 0.1350 86.04
1100 0.4125 84.38 0.3671 80.98
1110 0.5537 81.25 0.1977 78.98
1120 0.5492 81.25 0.1832 81.65
1130 0.3085 87.50 0.2363 84.42
1140 0.5821 78.12 0.2055 82.33
1150 0.4027 84.38 0.2073 84.22
1160 0.5800 84.38 0.2691 84.25
1170 0.3680 90.62 0.2258 81.51
1180 0.5583 81.25 0.3687 77.88
1190 0.6067 75.00 0.2429 75.02
1200 0.3565 87.50 0.1932 83.13
1210 0.4996 78.12 0.3387 82.44
1220 0.4583 84.38 0.2335 80.30
1230 0.7385 71.88 0.2334 77.86
1240 0.2011 96.88 0.1371 89.55
1250 0.3725 84.38 0.2166 86.07
1260 0.5442 78.12 0.2681 83.93
1270 0.5795 78.12 0.3513 81.84
1280 0.3350 87.50 0.2386 85.20
1290 0.7869 84.38 0.2134 85.32
1300 0.3725 84.38 0.1703 82.68
1310 0.2863 90.62 0.2095 84.76
1320 0.8911 71.88 0.6208 79.81
1330 0.3437 90.62 0.2502 84.09
1340 0.5137 84.38 0.2306 83.32
1350 0.5383 75.00 0.4379 83.60
1360 0.4427 81.25 0.2899 82.21
1370 0.7019 68.75 0.2823 77.59
1380 0.6960 68.75 0.1974 79.38
1390 0.4906 84.38 0.1728 84.96
1400 0.6426 78.12 0.2934 83.73
1410 0.4750 87.50 0.1820 82.66
1420 0.3865 87.50 0.2456 79.06
1430 0.3100 93.75 0.1741 84.72
1440 0.5480 81.25 0.4144 83.36
1450 0.5681 78.12 0.2159 80.89
1460 0.2482 87.50 0.1693 87.27
1470 0.5565 84.38 0.2338 84.10
1480 0.3199 93.75 0.1646 83.90
1490 0.3268 90.62 0.1660 83.35
1500 0.5867 81.25 0.2220 84.16
1510 0.6435 78.12 0.3268 80.97
1520 0.5359 81.25 0.1598 82.67
1530 0.4585 81.25 0.2074 80.70
1540 0.5755 81.25 0.3698 81.54
1550 0.4591 84.38 0.2521 81.29
1560 0.7698 78.12 0.2905 79.62
1570 0.5881 84.38 0.2697 81.73
1580 0.7707 75.00 0.3325 80.21
1590 0.3107 90.62 0.2097 87.40
1600 0.5587 78.12 0.2850 84.33
1610 0.3480 90.62 0.1835 87.03
1620 0.5280 84.38 0.2228 85.41
1630 0.8680 68.75 0.3162 80.26
1640 0.3590 90.62 0.2499 79.31
1650 0.6357 78.12 0.3071 81.84
1660 0.5507 78.12 0.1658 81.51
1670 0.6688 78.12 0.2681 82.36
1680 0.6211 71.88 0.2654 79.97
1690 0.5035 81.25 0.2255 83.26
1700 0.4419 84.38 0.1864 84.05
1710 0.3167 90.62 0.1528 83.15
1720 0.6553 71.88 0.2662 77.28
1730 0.4021 87.50 0.2697 82.66
1740 0.4379 78.12 0.3899 84.98
1750 0.3409 90.62 0.2155 84.87
1760 0.4891 84.38 0.2505 82.57
1770 0.4440 81.25 0.2052 85.34
1780 0.5334 78.12 0.2330 77.85
1790 0.3103 87.50 0.3115 83.39
1800 0.5415 78.12 0.1844 78.20
1810 0.6467 78.12 0.2728 79.12
1820 0.4447 87.50 0.2443 82.17
1830 0.3673 87.50 0.1552 85.49
1840 0.4939 78.12 0.3583 85.93
1850 0.4297 87.50 0.1621 81.92
1860 0.5743 78.12 0.2856 78.50
1870 0.7179 78.12 0.2643 75.59
